label,timeset,weight<total_link_strength>,weight<norm._citations>,score<citations>,score<norm._citations>,score<pub._year>,weight<links>,weight<citations>,cluster,title,source,description,url,id,main_topic
mell (2013),,48,1.5805,16,1.5805,2013,39,16,3,"promoting urban greening: valuing the development of green infrastructure investments in the urban core of manchester, uk",urban forestry & urban greening,"<table><tr><td>Authors:</td><td>mell, ic; henneberry, j; hehl-lange, s; keskin, b</td></tr><tr><td>Title:</td><td>promoting urban greening: valuing the development of green infrastructure investments in the urban core of manchester, uk</td></tr><tr><td>Source:</td><td>urban forestry & urban greening, 12(3), 296-306</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.ufug.2013.04.006,66,"{green, build, roof}"
williams (2013),,180,0.7903,8,0.7903,2013,149,8,3,the role of planning in delivering low-carbon urban infrastructure,environment and planning b-planning & design,"<table><tr><td>Authors:</td><td>williams, j</td></tr><tr><td>Title:</td><td>the role of planning in delivering low-carbon urban infrastructure</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(4), 683-706</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b38180,71,
chowdhury (2013),,45,1.0866,11,1.0866,2013,36,11,2,definition of planned and unplanned transfer of public transport service and user decisions to use routes with transfers,journal of public transportation,"<table><tr><td>Authors:</td><td>chowdhury, s; ceder, a</td></tr><tr><td>Title:</td><td>definition of planned and unplanned transfer of public transport service and user decisions to use routes with transfers</td></tr><tr><td>Source:</td><td>journal of public transportation, 16(2), 1-20</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",,72,
addie (2013),,93,0.7903,8,0.7903,2013,55,8,3,metropolitics in motion: the dynamics of transportation and state reterritorialization in the chicago and toronto city-regions,urban geography,"<table><tr><td>Authors:</td><td>addie, jpd</td></tr><tr><td>Title:</td><td>metropolitics in motion: the dynamics of transportation and state reterritorialization in the chicago and toronto city-regions</td></tr><tr><td>Source:</td><td>urban geography, 34(2), 188-217</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1080/02723638.2013.778651,80,"{urban, land, citi}"
kjellstrom (2013),,60,1.9757,20,1.9757,2013,49,20,5,climate change threats to population health and well-being: the imperative of protective solutions that will last,global health action,"<table><tr><td>Authors:</td><td>kjellstrom, t; mcmichael, aj</td></tr><tr><td>Title:</td><td>climate change threats to population health and well-being: the imperative of protective solutions that will last</td></tr><tr><td>Source:</td><td>global health action, 6, 1-9</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3402/gha.v6i0.20816,86,
zafra-gomez (2013),,67,2.4696,25,2.4696,2013,17,25,6,reducing costs in times of crisis: delivery forms in small and medium sized local governments' waste management services,public administration,"<table><tr><td>Authors:</td><td>zafra-gomez, jl; prior, d; diaz, amp; lopez-hernandez, am</td></tr><tr><td>Title:</td><td>reducing costs in times of crisis: delivery forms in small and medium sized local governments' waste management services</td></tr><tr><td>Source:</td><td>public administration, 91(1), 51-68</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1111/j.1467-9299.2011.02012.x,88,"{bus, servic, oper}"
azari (2013),,312,1.1854,12,1.1854,2013,166,12,7,modelling demand under parking and cordon pricing policy,transport policy,"<table><tr><td>Authors:</td><td>azari, ka; arintono, s; hamid, h; rahmat, raok</td></tr><tr><td>Title:</td><td>modelling demand under parking and cordon pricing policy</td></tr><tr><td>Source:</td><td>transport policy, 25, 1-9</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.10.003,90,"{park, space, price}"
redman (2013),,96,8.0014,81,8.0014,2013,60,81,8,quality attributes of public transport that attract car users: a research review,transport policy,"<table><tr><td>Authors:</td><td>redman, l; friman, m; garling, t; hartig, t</td></tr><tr><td>Title:</td><td>quality attributes of public transport that attract car users: a research review</td></tr><tr><td>Source:</td><td>transport policy, 25, 119-127</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.11.005,92,"{bus, servic, oper}"
schneider (2013),,249,2.1732,22,2.1732,2013,153,22,5,theory of routine mode choice decisions: an operational framework to increase sustainable transportation,transport policy,"<table><tr><td>Authors:</td><td>schneider, rj</td></tr><tr><td>Title:</td><td>theory of routine mode choice decisions: an operational framework to increase sustainable transportation</td></tr><tr><td>Source:</td><td>transport policy, 25, 128-137</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.10.007,93,"{bicycl, cycl, cyclist}"
duncan (2013),,207,0.7903,8,0.7903,2013,132,8,2,an analysis of park-and-ride provision at light rail stations across the us,transport policy,"<table><tr><td>Authors:</td><td>duncan, m; christensen, rk</td></tr><tr><td>Title:</td><td>an analysis of park-and-ride provision at light rail stations across the us</td></tr><tr><td>Source:</td><td>transport policy, 25, 148-157</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.11.014,94,"{park, space, price}"
hensher (2013),,230,1.6793,17,1.6793,2013,106,17,7,referendum voting in road pricing reform: a review of the evidence,transport policy,"<table><tr><td>Authors:</td><td>hensher, da; li, z</td></tr><tr><td>Title:</td><td>referendum voting in road pricing reform: a review of the evidence</td></tr><tr><td>Source:</td><td>transport policy, 25, 186-197</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.11.012,95,"{price, congest, road}"
young (2013),,75,2.9635,30,2.9635,2013,41,30,3,governing metropolitan green infrastructure in the united states,landscape and urban planning,"<table><tr><td>Authors:</td><td>young, rf; mcpherson, eg</td></tr><tr><td>Title:</td><td>governing metropolitan green infrastructure in the united states</td></tr><tr><td>Source:</td><td>landscape and urban planning, 109(1), 67-75</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.landurbplan.2012.09.004,100,"{develop, sustain, plan}"
lawson (2013),,82,2.3708,24,2.3708,2013,51,24,5,perception of safety of cyclists in dublin city,accident analysis and prevention,"<table><tr><td>Authors:</td><td>lawson, ar; pakrashi, v; ghosh, b; szeto, wy</td></tr><tr><td>Title:</td><td>perception of safety of cyclists in dublin city</td></tr><tr><td>Source:</td><td>accident analysis and prevention, 50, 499-511</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.aap.2012.05.029,102,"{bicycl, cycl, cyclist}"
de carvalho (2013),,66,0.6915,7,0.6915,2013,41,7,4,influence of weather and indoor climate on clothing of occupants in naturally ventilated school buildings,building and environment,"<table><tr><td>Authors:</td><td>de carvalho, pm; da silva, mg; ramos, je</td></tr><tr><td>Title:</td><td>influence of weather and indoor climate on clothing of occupants in naturally ventilated school buildings</td></tr><tr><td>Source:</td><td>building and environment, 59, 38-46</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.buildenv.2012.08.005,103,
borge-diez (2013),,49,0.9878,10,0.9878,2013,28,10,4,passive climatization using a cool roof and natural ventilation for internally displaced persons in hot climates: case study for haiti,building and environment,"<table><tr><td>Authors:</td><td>borge-diez, d; colmenar-santos, a; perez-molina, c; castro-gil, m</td></tr><tr><td>Title:</td><td>passive climatization using a cool roof and natural ventilation for internally displaced persons in hot climates: case study for haiti</td></tr><tr><td>Source:</td><td>building and environment, 59, 116-126</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.buildenv.2012.08.013,105,"{heat, thermal, comfort}"
colmenar-santos (2013),,78,2.0744,21,2.0744,2013,71,21,4,solutions to reduce energy consumption in the management of large buildings,energy and buildings,"<table><tr><td>Authors:</td><td>colmenar-santos, a; de lober, lnt; borge-diez, d; castro-gil, m</td></tr><tr><td>Title:</td><td>solutions to reduce energy consumption in the management of large buildings</td></tr><tr><td>Source:</td><td>energy and buildings, 56, 66-77</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.10.004,106,"{model, network, optim}"
hamdy (2013),,61,7.705,78,7.705,2013,43,78,4,a multi-stage optimization method for cost-optimal and nearly-zero-energy building solutions in line with the epbd-recast 2010,energy and buildings,"<table><tr><td>Authors:</td><td>hamdy, m; hasan, a; siren, k</td></tr><tr><td>Title:</td><td>a multi-stage optimization method for cost-optimal and nearly-zero-energy building solutions in line with the epbd-recast 2010</td></tr><tr><td>Source:</td><td>energy and buildings, 56, 189-203</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.08.023,109,"{energi, build, consumpt}"
slavik (2013),,139,0.7903,8,0.7903,2013,80,8,6,do the variable charges really increase the effectiveness and economy of waste management? a case study of the czech republic,resources conservation and recycling,"<table><tr><td>Authors:</td><td>slavik, j; pavel, j</td></tr><tr><td>Title:</td><td>do the variable charges really increase the effectiveness and economy of waste management? a case study of the czech republic</td></tr><tr><td>Source:</td><td>resources conservation and recycling, 70, 68-77</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.resconrec.2012.09.013,111,"{wast, manag, solid}"
giles-corti (2013),,201,7.6063,77,7.6063,2013,105,77,5,the influence of urban design on neighbourhood walking following residential relocation: longitudinal results from the reside study,social science & medicine,"<table><tr><td>Authors:</td><td>giles-corti, b; bull, f; knuiman, m; mccormack, g; van niel, k; timperio, a; christian, h; foster, s; divitini, m; middleton, n; boruff, b</td></tr><tr><td>Title:</td><td>the influence of urban design on neighbourhood walking following residential relocation: longitudinal results from the reside study</td></tr><tr><td>Source:</td><td>social science & medicine, 77, 20-30</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.socscimed.2012.10.016,112,"{activ, school, health}"
armel (2013),,65,8.1989,83,8.1989,2013,44,83,4,is disaggregation the holy grail of energy efficiency? the case of electricity,energy policy,"<table><tr><td>Authors:</td><td>armel, kc; gupta, a; shrimali, g; albert, a</td></tr><tr><td>Title:</td><td>is disaggregation the holy grail of energy efficiency? the case of electricity</td></tr><tr><td>Source:</td><td>energy policy, 52, 213-234</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.08.062,117,"{energi, build, consumpt}"
bocker (2013),,77,3.8525,39,3.8525,2013,64,39,5,impact of everyday weather on individual daily travel behaviours in perspective: a literature review,transport reviews,"<table><tr><td>Authors:</td><td>bocker, l; dijst, m; prillwitz, j</td></tr><tr><td>Title:</td><td>impact of everyday weather on individual daily travel behaviours in perspective: a literature review</td></tr><tr><td>Source:</td><td>transport reviews, 33(1), 71-91</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1080/01441647.2012.747114,120,
soares (2013),,127,1.7781,18,1.7781,2013,40,18,6,applications of life cycle assessment and cost analysis in health care waste management,waste management,"<table><tr><td>Authors:</td><td>soares, sr; finotti, ar; da silva, vp; alvarenga, raf</td></tr><tr><td>Title:</td><td>applications of life cycle assessment and cost analysis in health care waste management</td></tr><tr><td>Source:</td><td>waste management, 33(1), 175-183</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.wasman.2012.09.021,129,"{wast, manag, solid}"
dos santos (2013),,63,0.9878,10,0.9878,2013,59,10,4,the risks of an energy efficiency policy for buildings based solely on the consumption evaluation of final energy,international journal of electrical power & energy systems,"<table><tr><td>Authors:</td><td>dos santos, ahc; faga, mtw; dos santos, em</td></tr><tr><td>Title:</td><td>the risks of an energy efficiency policy for buildings based solely on the consumption evaluation of final energy</td></tr><tr><td>Source:</td><td>international journal of electrical power & energy systems, 44(1), 70-77</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.ijepes.2012.07.017,135,"{energi, build, consumpt}"
qin (2013),,153,1.4817,15,1.4817,2013,129,15,2,planning parameters and household carbon emission: evidence from high- and low-carbon neighborhoods in beijing,habitat international,"<table><tr><td>Authors:</td><td>qin, b; han, ss</td></tr><tr><td>Title:</td><td>planning parameters and household carbon emission: evidence from high- and low-carbon neighborhoods in beijing</td></tr><tr><td>Source:</td><td>habitat international, 37, 52-60</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.habitatint.2011.12.017,145,
sperling (2013),,50,0.4939,5,0.4939,2013,47,5,5,exploring health outcomes as a motivator for low-carbon city development: implications for infrastructure interventions in asian cities,habitat international,"<table><tr><td>Authors:</td><td>sperling, jb; ramaswami, a</td></tr><tr><td>Title:</td><td>exploring health outcomes as a motivator for low-carbon city development: implications for infrastructure interventions in asian cities</td></tr><tr><td>Source:</td><td>habitat international, 37, 113-123</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.habitatint.2011.12.013,148,"{water, heat, suppli}"
keirstead (2012),,57,1.1286,15,1.1286,2012,49,15,4,using activity-based modeling to simulate urban resource demands at high spatial and temporal resolutions,journal of industrial ecology,"<table><tr><td>Authors:</td><td>keirstead, j; sivakumar, a</td></tr><tr><td>Title:</td><td>using activity-based modeling to simulate urban resource demands at high spatial and temporal resolutions</td></tr><tr><td>Source:</td><td>journal of industrial ecology, 16(6), 889-900</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1111/j.1530-9290.2012.00486.x,155,"{model, network, optim}"
comodi (2012),,96,1.5048,20,1.5048,2012,82,20,4,local authorities in the context of energy and climate policy,energy policy,"<table><tr><td>Authors:</td><td>comodi, g; cioccolanti, l; polonara, f; brandoni, c</td></tr><tr><td>Title:</td><td>local authorities in the context of energy and climate policy</td></tr><tr><td>Source:</td><td>energy policy, 51, 737-748</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.09.019,157,
martin (2012),,249,1.2791,17,1.2791,2012,136,17,5,financial incentives to promote active travel an evidence review and economic framework,american journal of preventive medicine,"<table><tr><td>Authors:</td><td>martin, a; suhrcke, m; ogilvie, d</td></tr><tr><td>Title:</td><td>financial incentives to promote active travel an evidence review and economic framework</td></tr><tr><td>Source:</td><td>american journal of preventive medicine, 43(6), e45-e57</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.amepre.2012.09.001,161,"{activ, school, health}"
yao (2012),,422,0.6019,8,0.6019,2012,187,8,1,congestion derivatives for a traffic bottleneck with heterogeneous commuters,transportation research part b-methodological,"<table><tr><td>Authors:</td><td>yao, t; wei, mm; zhang, b; friesz, t</td></tr><tr><td>Title:</td><td>congestion derivatives for a traffic bottleneck with heterogeneous commuters</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 46(10), 1454-1473</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2012.07.003,162,"{travel, mode, choic}"
chung (2012),,373,1.5048,20,1.5048,2012,197,20,1,dynamic congestion pricing with demand uncertainty: a robust optimization approach,transportation research part b-methodological,"<table><tr><td>Authors:</td><td>chung, bd; yao, t; friesz, tl; liu, hc</td></tr><tr><td>Title:</td><td>dynamic congestion pricing with demand uncertainty: a robust optimization approach</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 46(10), 1504-1518</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2012.07.007,163,"{model, network, optim}"
gonzales (2012),,235,3.0096,40,3.0096,2012,131,40,1,"morning commute with competing modes and distributed demand: user equilibrium, system optimum, and pricing",transportation research part b-methodological,"<table><tr><td>Authors:</td><td>gonzales, ej; daganzo, cf</td></tr><tr><td>Title:</td><td>morning commute with competing modes and distributed demand: user equilibrium, system optimum, and pricing</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 46(10), 1519-1534</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2012.07.009,164,"{transit, rail, station}"
zhong (2012),,66,0.5267,7,0.5267,2012,50,7,4,"indoor thermal conditions and the potential of energy conservation of naturally ventilated rooms in summer, china",energy and buildings,"<table><tr><td>Authors:</td><td>zhong, k; fu, hm; kang, ym; peng, xf</td></tr><tr><td>Title:</td><td>indoor thermal conditions and the potential of energy conservation of naturally ventilated rooms in summer, china</td></tr><tr><td>Source:</td><td>energy and buildings, 55, 183-188</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.08.027,166,"{heat, thermal, comfort}"
kelly (2012),,79,2.1067,28,2.1067,2012,55,28,4,building performance evaluation and certification in the uk: is sap fit for purpose?,renewable & sustainable energy reviews,"<table><tr><td>Authors:</td><td>kelly, s; crawford-brown, d; pollitt, mg</td></tr><tr><td>Title:</td><td>building performance evaluation and certification in the uk: is sap fit for purpose?</td></tr><tr><td>Source:</td><td>renewable & sustainable energy reviews, 16(9), 6861-6878</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.rser.2012.07.018,178,
rojo (2012),,50,1.1286,15,1.1286,2012,45,15,7,relationship between service quality and demand for inter-urban buses,transportation research part a-policy and practice,"<table><tr><td>Authors:</td><td>rojo, m; gonzalo-orden, h; dell'olio, l; ibeas, a</td></tr><tr><td>Title:</td><td>relationship between service quality and demand for inter-urban buses</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 46(10), 1716-1729</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2012.07.006,181,"{bus, servic, oper}"
di lonardo (2012),,11,1.2038,16,1.2038,2012,8,16,6,characterization of mbt plants input and outputs: a review,reviews in environmental science and bio-technology,"<table><tr><td>Authors:</td><td>di lonardo, mc; lombardi, f; gavasci, r</td></tr><tr><td>Title:</td><td>characterization of mbt plants input and outputs: a review</td></tr><tr><td>Source:</td><td>reviews in environmental science and bio-technology, 11(4), 353-363</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1007/s11157-012-9299-2,186,"{treatment, wastewat, plant}"
borndorfer (2012),,127,0.6019,8,0.6019,2012,105,8,8,models for fare planning in public transport,discrete applied mathematics,"<table><tr><td>Authors:</td><td>borndorfer, r; karbstein, m; pfetsch, me</td></tr><tr><td>Title:</td><td>models for fare planning in public transport</td></tr><tr><td>Source:</td><td>discrete applied mathematics, 160(18), 2591-2605</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.dam.2012.02.027,188,"{model, network, optim}"
argyriou (2012),,82,0.5267,7,0.5267,2012,67,7,3,local climate policy: lessons from a case study of transfer of expertise between uk local authorities,sustainable cities and society,"<table><tr><td>Authors:</td><td>argyriou, i; fleming, p; wright, a</td></tr><tr><td>Title:</td><td>local climate policy: lessons from a case study of transfer of expertise between uk local authorities</td></tr><tr><td>Source:</td><td>sustainable cities and society, 5, 87-95</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.scs.2012.06.001,190,
gurney (2012),,152,4.2886,57,4.2886,2012,94,57,3,quantification of fossil fuel co2 emissions on the building/street scale for a large us city,environmental science & technology,"<table><tr><td>Authors:</td><td>gurney, kr; razlivanov, i; song, y; zhou, yy; benes, b; abdul-massih, m</td></tr><tr><td>Title:</td><td>quantification of fossil fuel co2 emissions on the building/street scale for a large us city</td></tr><tr><td>Source:</td><td>environmental science & technology, 46(21), 12194-12202</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es3011282,194,
davies (2012),,67,0.6019,8,0.6019,2012,46,8,7,what are the ingredients of successful travel behavioural change campaigns?,transport policy,"<table><tr><td>Authors:</td><td>davies, n</td></tr><tr><td>Title:</td><td>what are the ingredients of successful travel behavioural change campaigns?</td></tr><tr><td>Source:</td><td>transport policy, 24, 19-29</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.06.017,199,"{develop, sustain, plan}"
nkurunziza (2012),,149,1.0533,14,1.0533,2012,69,14,5,examining the potential for modal change: motivators and barriers for bicycle commuting in dar-es-salaam,transport policy,"<table><tr><td>Authors:</td><td>nkurunziza, a; zuidgeest, m; brussel, m; van maarseveen, m</td></tr><tr><td>Title:</td><td>examining the potential for modal change: motivators and barriers for bicycle commuting in dar-es-salaam</td></tr><tr><td>Source:</td><td>transport policy, 24, 249-259</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.09.002,201,"{bicycl, cycl, cyclist}"
knockaert (2012),,308,0.6772,9,0.6772,2012,206,9,1,the spitsmijden experiment: a reward to battle congestion,transport policy,"<table><tr><td>Authors:</td><td>knockaert, j; tseng, yy; verhoef, et; rouwendal, j</td></tr><tr><td>Title:</td><td>the spitsmijden experiment: a reward to battle congestion</td></tr><tr><td>Source:</td><td>transport policy, 24, 260-272</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.07.007,202,"{travel, mode, choic}"
dahlstrom (2012),,51,2.1067,28,2.1067,2012,30,28,4,life cycle assessment of a single-family residence built to either conventional- or passive house standard,energy and buildings,"<table><tr><td>Authors:</td><td>dahlstrom, o; sornes, k; eriksen, st; hertwich, eg</td></tr><tr><td>Title:</td><td>life cycle assessment of a single-family residence built to either conventional- or passive house standard</td></tr><tr><td>Source:</td><td>energy and buildings, 54, 470-479</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.07.029,205,
coronini-cronberg (2012),,110,1.2038,16,1.2038,2012,78,16,5,the impact of a free older persons' bus pass on active travel and regular walking in england,american journal of public health,"<table><tr><td>Authors:</td><td>coronini-cronberg, s; millett, c; laverty, aa; webb, e</td></tr><tr><td>Title:</td><td>the impact of a free older persons' bus pass on active travel and regular walking in england</td></tr><tr><td>Source:</td><td>american journal of public health, 102(11), 2141-2148</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.2105/ajph.2012,209,
dowson (2012),,49,3.8372,51,3.8372,2012,32,51,4,"domestic uk retrofit challenge: barriers, incentives and current performance leading into the green deal",energy policy,"<table><tr><td>Authors:</td><td>dowson, m; poole, a; harrison, d; susman, g</td></tr><tr><td>Title:</td><td>domestic uk retrofit challenge: barriers, incentives and current performance leading into the green deal</td></tr><tr><td>Source:</td><td>energy policy, 50, 294-305</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.07.019,211,"{energi, build, consumpt}"
