,abstract,doc,number,topic,topic_size
10,"Energy conservation and CO2 abatement is currently an important development strategy for China. It is significant to analyze how to reduce energy consumption and CO2 emissions in China's energy-intensive machinery industry. We not only employ a cointegration method and scenario analysis to predict the future energy demand and CO2 emissions in China's machinery industry, but we also use the Monte Carlo simulation to test the validity of the predictions. The results show that energy demand in the industry will respectively reach 678.759 Mtce (million ton coal equivalent) in 2020 and 865.494 Mtce in 2025 under the baseline scenario. Compared with the baseline scenario, the energy savings in 2020 will respectively be 63.654 Mtce and 120.787 Mtce in the medium and advanced scenarios. Furthermore, we forecast the corresponding CO2 emissions as well as the reduction potential respectively in 2020 and 2025. In order to achieve energy conservation and emissions reduction, the government should increase energy price, levy environmental taxes based on the emissions level of machinery enterprises, promote mergers and acquisitions of enterprises, and expand the scale of enterprises. This paper provides a reference for energy conservation and CO2 abatement policy in China's machinery industry.",WOS:000394842700086,2025,"{emiss, carbon, ghg}",383
11,"Energy conservation and CO2 abatement is currently an important development strategy for China. It is significant to analyze how to reduce energy consumption and CO2 emissions in China's energy-intensive machinery industry. We not only employ a cointegration method and scenario analysis to predict the future energy demand and CO2 emissions in China's machinery industry, but we also use the Monte Carlo simulation to test the validity of the predictions. The results show that energy demand in the industry will respectively reach 678.759 Mtce (million ton coal equivalent) in 2020 and 865.494 Mtce in 2025 under the baseline scenario. Compared with the baseline scenario, the energy savings in 2020 will respectively be 63.654 Mtce and 120.787 Mtce in the medium and advanced scenarios. Furthermore, we forecast the corresponding CO2 emissions as well as the reduction potential respectively in 2020 and 2025. In order to achieve energy conservation and emissions reduction, the government should increase energy price, levy environmental taxes based on the emissions level of machinery enterprises, promote mergers and acquisitions of enterprises, and expand the scale of enterprises. This paper provides a reference for energy conservation and CO2 abatement policy in China's machinery industry.",WOS:000394842700086,2020,"{emiss, carbon, ghg}",383
12,"This study adapts a climate change mitigation model to assess impacts of municipal solid wastes in the Middle East and North Africa region, taking into account the future development of integrated waste management infrastructure involving collection, treatment and disposal. Mitigated and unmitigated disposal scenarios including waste growth reduction are used to estimate disposal methane emission changes at regional and subregional level. This study shows that unmitigated regional emissions by 2050 could rise to 296542 GgCO(2eq) from a current level in 2015 of 128184 GgCO(2eq) additionally decreasing annually by up to 8.75% falling to 10.16% due to waste characterisation changes as developing countries in the region progress to developed country status. A further annual rise, due to hotter drier climate conditions experienced as desertification, of up to a range of 1.70% increasing to 2.29% is also demonstrated. The findings enable regional planners to better assess and develop plans for implementation of integrated waste management policies.",WOS:000401235100011,2050,"{wast, manag, solid}",517
13,"The building sector in Romania is dominated by residential buildings that are old and have poor thermal performance. As a member of the European Union, Romania has to reach the objectives imposed by the Directive 2009/28/EC and to fulfill the requirements of the Energy Performance of Buildings Directive (EPBD) by year 2020. The implementation of these concepts in Romania consists into thermal rehabilitation of the existing buildings, applying the latest thermal performance characteristics in new buildings and establishing the certificate of energy performance. The following paper presents the literature review of the state of building energy performance in Romania. The purpose of the literature review analysis is to provide a snapshot on the existing building energy efficiency and future perspectives on the implementation of high performance buildings in Romania. The implementation of concepts such as the Passive House (PH), nearly Zero Energy Buildings (nZEB) and Net Zero Energy Buildings (NZEB) are discussed in order to help the decision makers to achieve the 2020 objectives. The results of the reviewed publications and case studies are classified under three categories: policy and regulations, technology and feasibility. Finally a holistic perspective on the Strength, Weakness, Opportunities and Threats (SWOTs) of energy efficiency in Romania's residential building sector is presented.",WOS:000401492900026,2020,"{energi, build, consumpt}",779
14,"The gradually decreasing connectivity of habitats threatens biodiversity and ecological processes valuable to humans. Green infrastructure is promoted by the European Commission as a key instrument for the conservation of ecosystems in the EU biodiversity strategy to 2020. Green infrastructure has been defined as a network of natural and semi-natural areas, designed and managed to deliver a wide range of ecosystem services. We surveyed Finnish experts' perceptions on the development of green infrastructure within the existing policy framework. Our results show that improving the implementation of existing conservation policy instruments needs to be an integral part of developing green infrastructure. Despite the potential of green infrastructure to benefit biodiversity, existing conceptual ambiguity of green infrastructure with rather complex role of ecosystem services - and the possible interpretation of this in practice - raises concerns regarding its ability to contribute to biodiversity conservation.",WOS:000400015600004,2020,"{green, build, roof}",165
15,"In support of an ambitious target to reduce carbon intensity by from 40 to 45 percent by the year 2020, as proposed by numerous leaders around the globe, various industries in China have come to think of carbon emissions reduction as an important part of their overall corporate strategy. As an energy-intense economic sector (Gossling, 2013), tourism is thus expected to play an important role in reducing CO2 emissions in China. However, low-carbon tourism in most destinations, and especially in newly emerging tourism destinations, is being neglected to some extent. Examples of this neglect can be found in such areas as China's Chengguan District of Lhasa, which has ambitions to become a world tourism centre. This study develops a fuzzy Delphi-ANP approach to suggest which low-carbon tourism strategy should be adopted in Chengguan District in the coming years. Applying our approach, we find that the priorities of low-carbon tourism strategies in Chengguan District are: first, economic development (0.1965), secondly, environmental construction (0.1593), and finally, social support (0.1442). Specifically, the importance of the indicators for tourism carbon intensity, low-carbon transportation, education regarding a low-carbon environment, carbon sink density and sewage treatment are stressed in this paper, in order to call for the immediate implementation of low-carbon tourism development in Chengguan District. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000389090300039,2020,"{emiss, carbon, ghg}",383
16,"Urban passenger transportation in the U.S. has been heavily dependent on car modes, mainly due to prevailing trends in urban development. However, transportation mode choice studies are currently limited to micro-level and regional-level boundaries, lacking of presenting a complete picture of the issues and the root causes associated with urban passenger transportation choices in the U.S. To this end, further analysis from a system perspective is required to investigate the interdependencies among system parameters more thoroughly, thus revealing the underlying mechanisms contributing or causing the low public transportation use in the U.S. Hence, system dynamics modeling approach is utilized to capture complex causal relationships among the critical system parameters affecting public transportation ridership in the U.S. as well as to identify possible policy areas to improve public transportation ridership rates. Considering the high degree of uncertainties inherent to the problem, multivariate sensitivity analysis is utilized to explore the effectiveness of existing and possible policy implications up to the year 2050 in the terms of their potential to increase transit ridership and locating critical parameters that influences the most on mode choice and emission rates. Transportation mode choice behavior is projected to change slightly and reach up to a maximum of 7.25% of public transportation ridership until 2050. Analysis results reveal that the effects of trip length and rate are by far the most influential factors. Both parameters are 99% sensitive compared to all other factors including the effects of fuel tax policies, federal funds for public transportation, use of alternative green bus technologies, increasing private vehicle occupancy rates, etc. on negative environmental, economic, and social impacts of transportation. This finding highlights how important urban structures are to secure the future of public transportation in the U.S. as the existing urban structures and the shared-idea in the minds of the society about how urban transportation should be (the prevailing paradigm) are the root causes of excessive trip generation and increasing average trip lengths. Thus a paradigm-shift, a radical change in the shared-idea in the minds of the society about existing urban structures, is needed. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000398135300038,2050,"{transport, public, access}",295
17,"Urban passenger transportation in the U.S. has been heavily dependent on car modes, mainly due to prevailing trends in urban development. However, transportation mode choice studies are currently limited to micro-level and regional-level boundaries, lacking of presenting a complete picture of the issues and the root causes associated with urban passenger transportation choices in the U.S. To this end, further analysis from a system perspective is required to investigate the interdependencies among system parameters more thoroughly, thus revealing the underlying mechanisms contributing or causing the low public transportation use in the U.S. Hence, system dynamics modeling approach is utilized to capture complex causal relationships among the critical system parameters affecting public transportation ridership in the U.S. as well as to identify possible policy areas to improve public transportation ridership rates. Considering the high degree of uncertainties inherent to the problem, multivariate sensitivity analysis is utilized to explore the effectiveness of existing and possible policy implications up to the year 2050 in the terms of their potential to increase transit ridership and locating critical parameters that influences the most on mode choice and emission rates. Transportation mode choice behavior is projected to change slightly and reach up to a maximum of 7.25% of public transportation ridership until 2050. Analysis results reveal that the effects of trip length and rate are by far the most influential factors. Both parameters are 99% sensitive compared to all other factors including the effects of fuel tax policies, federal funds for public transportation, use of alternative green bus technologies, increasing private vehicle occupancy rates, etc. on negative environmental, economic, and social impacts of transportation. This finding highlights how important urban structures are to secure the future of public transportation in the U.S. as the existing urban structures and the shared-idea in the minds of the society about how urban transportation should be (the prevailing paradigm) are the root causes of excessive trip generation and increasing average trip lengths. Thus a paradigm-shift, a radical change in the shared-idea in the minds of the society about existing urban structures, is needed. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000398135300038,2050,"{transport, public, access}",295
18,"Planning for sustainable cities involves supporting compact, energy-efficient urban form as well as maintaining attractive and liveable urban landscapes. Attractive cities depend highly on services provided by ecosystems, especially cultural ecosystem services (ES), which give direct benefits to urban citizens. Therefore, access to a diversity of urban functions and publicly available ES by walking and public transport should be considered when planning for sustainable cities. This could be facilitated by user-friendly planning support models. The aim of this study was to develop a GIS-based model for assessing accessibility to ES, more specifically, water-related cultural ecosystem services (WCES), via walking and public transport, with input from stakeholders. The model was applied to the Stockholm region in Sweden. Travel times and census data were used to derive measures and maps of accessibility to prioritised WCES in the region, today and in urbanisation scenarios for 2050. The results showed how access to WCES varied spatially within the region. The number of potential visitors to different WCES sites now and in the future urbanisation scenarios was estimated, and areas in need for future development of the public transport system as well as WCES were identified. The GIS-based accessibility model has potential to be used as planning support in urban planning.",WOS:000398714100023,2050,"{urban, land, citi}",321
19,"The performance of urban transport depends on a variety of factors related to metropolitan structure; in particular, the patterns of commuting, roads and public transport (PT) systems. To evaluate urban transport planning efforts, there is a need for a metric expressing the aggregate performance of the city's transport systems which should relate to residents' preferences. The existing metrics have typically focused on a measure to express the proximity of job locations to residences. A Transport Performance Index (TPI) is proposed in which the total cost of transportation system (operational and environmental costs) is divided by willingness to pay (WTP) for transport plus the willingness to accept (WTA) the environmental effects on residents. Transport operational as well as the environmental costs are derived from a simulation of all transport systems, to particular designs of spatial development. Willingness to pay for transport and willingness to accept the envirohmental effects are derived from surveys among residents. Simulations were modelled of Surabaya's spatial structure and public transport expansion. The results indicate that the current TPI is high, which will double by 2030. With a hypothetical polycentric city structure and adjusted job housing balance, a lower index occurs because of the improvements in urban transport performance. A low index means that the residents obtain much benefit from the alternative proposed. This illustrates the importance of residents' preferences in urban spatial planning in order to achieve efficient urban transport. Applying the index suggests that city authorities should provide fair and equitable public transport systems for suburban residents in the effort to control the phenomenon of urban sprawl. This index is certainly a good tool and prospective benchmark for measuring sustainability in relation to urban development. (C) 2016 Published by Elsevier Inc.",WOS:000395224300010,2030,"{transport, public, access}",295
20,"Although not yet a global consensus, there is widespread agreement that climate change is the result of anthropogenic sources of greenhouse gases (GHG) emissions. In order to respond to this issue, society has applied such strategies as clean energy development, improving industrial resource efficiency etc. Despite this, GHG emissions are still pursuing an upward trend. As the largest global GHG emitter, China faces a considerable challenge in responding to its agreed target of 40-45% GHG emission mitigation per unit gross domestic production (GDP) by 2020 as compared to 2005 levels. How to practically achieve this is still largely undecided. Comprehensive development of industrial symbiosis around nationwide is considered part of the solution. However, few researchers have studied how to actually implement a comprehensive development of industrial symbiosis for the purpose of GHG emission mitigation. This work intends to address this gap through highlighting the opportunities to develop such an approach for particular application to GHG emissions reduction in China. In addition, this study will also address the challenges ahead associated with the implementation of such a strategy, and outlines the where future research could be focused. Policy implications like establishing industrial symbiosis indicators associated with GHG emission mitigation are proposed.",WOS:000397357200009,2020,"{emiss, carbon, ghg}",383
21,"More than half of the world's population are living in cities today, and by 2050 almost 75% of the population will live in urban areas. Thus, meeting the energy demand in urban areas in a sustainable way is an important challenge for the future. Oslo wants to show how cities can take leadership in the green change and contribute with innovative ideas and solutions for development of sustainable energy systems. A technology-rich optimisation model has been developed in order to analyse how various energy and climate measures can transform Oslo into a low-carbon city. Consequently, the main focus of this work has been to find optimal ways of reducing the CO2 emissions, and secondly, the energy consumption. (c) 2017 Elsevier Ltd. All rights reserved.",WOS:000396953200005,2050,"{urban, land, citi}",321
22,"Planning for a low-carbon future in Australia will need to address simultaneously three aspects of sustainable development: centralisation/regional development, mobility and communication. After reviewing existing roadmaps for low-carbon growth by 2050, the article identifies the importance for Australia of an integrated and mutually reinforcing set of measures, based on a bold approach to urban and regional planning. Taking account of national geography, the approach is based on the decentralisation of energy production, use and storage, and on new uses of communication, transport and the location of food, water and mineral resources. Revitalised regional centres could be connected, through new energy and transport solutions, by a national transport arc and electrified highways. The use of infrastructure funding to support low-carbon regional development would avoid the tragedy of the commons', transcending incremental, cumulative approaches based on compensation and incentives for household, business and sectoral abatement efforts. It would generate long-term environmentally sustainable development.",WOS:000395351400004,2050,"{develop, sustain, plan}",898
23,"Among the first batch of pilot cities for application and promotion of new energy vehicles determined in 2013, Beijing is also a pilot city for national energy conservation, demonstration and popularization of new energy vehicles as well as subsidization of private new energy vehicles purchase. 2016 marks the beginning of the ""13th Five-Year Plan"" and is hence expected to be a pivotal year for promoting new energy vehicles. Using the Fuel Life Cycle Assessment, this paper conducts a quantitative analysis of such battery electric vehicles being promoted in Beijing as electric taxis, electric buses, electric sanitation trucks and rental battery electric vehicles, based on which we forecast the battery electric vehicles' performance during the ""13th Five-Year Plan"" in terms of energy conservation and emission reduction, as well as provide insights into the development path and the policy making for the industry accordingly. The results indicate a positive effect on energy conservation and emission reduction for all battery electric vehicles types currently on duty in Beijing, with an estimated 1.9 billion kilogram consumed energy of electricity conserved as well as 39.4 million tons of CO2 emission reduced by the end of 2020. Factors like power generation structure and fuel type are found to be crucial for this emission reduction performance. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000394062300037,2020,"{vehicl, electr, charg}",269
24,"The transition to more sustainable heating systems requires socio-technical approaches to strategic planning. Scenario development plays a key role in strategic planning, as the process supports the development of future visions and actions required for their realisation. However, new approaches to scenario development are required to address the limitations of conventional scenario development methods, such as the cognitive barriers of 'groupthink', reluctance to consider 'outside-the-box' options, handling of complexity, and ad hoc scenario selection and general non-transparency of scenario development processes. This paper describes the development and implementation of a novel method for scenario development and selection in the context of participatory strategic planning for sustainable heating in cities. The method is based on the morphological approach and a number of scenario criteria including transparency, reliability, coverage, completeness, relevanceldensity, creativity, interpretability, consistency, differentiation and plausibility. It integrates creativity workshops and interdisciplinary stakeholder participation to enhance the ownership and legitimacy of the scenarios. The approach entails the generation of a complete space of scenarios for heating systems and reduction of this space using cross-consistency analysis and project-specific requirements. Iterative development and implementation of the method is illustrated using two participatory backcasting projects focused on strategic planning for providing a comfortable indoor climate for Bila Tserkva, Ukraine, and Nis, Serbia by the year 2030. The results demonstrate that the method helps overcome the limitations of conventional approaches to scenario development and supports rigorous and transparent selection of a scenario set for participatory analysis. The method fostered the elicitation of consensus-based scenarios for more sustainable heating systems in both cities with regard to the quality of indoor comfort, environmental impact, resource efficiency and energy security. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000390075400004,2030,"{develop, sustain, plan}",898
25,"Low carbon energy supply technologies are increasingly used at the building and community scale and are an important part of the government decarbonisation strategy. However, with their present state of development and costs, many of these decentralised technologies rely on public subsidies to be financially viable. It is questionable whether they are cost effective compared to other ways of reducing carbon emissions, such as decarbonisation of conventional supply and improving the energy efficiency of dwellings. Previous studies have found it difficult to reliably estimate the future potential of decentralised supply because this depends on the available residential space which varies greatly within a city region. To address this problem, we used an integrated modelling framework that converted the residential density forecasts of a regional model into a representation of the building dimensions and land of the future housing stock. This included a method of estimating the variability of the dwellings and residential land. We present the findings of a case study of the wider south east regions of England that forecasted the impacts of energy efficiency and decentralised supply scenarios to year 2031. Our novel and innovative method substantially improves the spatial estimates of energy consumption compared to building energy models that only use standard dwelling typologies. We tested the impact of an alternative spatial planning policy on the future potential of decentralised energy supply and showed how lower density development would be more suitable for ground source heat pumps. Our findings are important because this method would help to improve the evidence base for strategies on achieving carbon budgets by taking into account how future residential space constraints would affect the suitability and uptakes of these technologies. (C) 2016 The Authors. Published by Elsevier Ltd.",WOS:000390495300025,2031,"{energi, build, consumpt}",779
26,"This paper reports the insights into environmental impacts of the ongoing transformative land use and transport developments in Greater Beijing, from a new suite of dynamic land use, spatial equilibrium and strategic transport models that is calibrated for medium to long term land use and transport predictions. The model tests are focused on urban passenger travel demand and associated emissions within the municipality of Beijing, accounting for Beijing's land use and transport interactions with Tianjin, Hebei and beyond. The findings suggests that background trends of urbanization, economic growth and income rises will continue to be very powerful drivers for urban passenger travel demand across all main modes of transport beyond 2030. In order to achieve the dual policy aims for a moderately affluent and equitable nation and reducing the absolute levels of urban transport emissions by 2030, road charging and careful micro-level coordination between land use, built form and public transport provision may need to be considered together for policy implementation in the near future. (C) 2017 The Authors. Published by Elsevier Ltd.",WOS:000401398500011,2030,"{urban, land, citi}",321
