author,year,source,title,doi,main topics,smaller topics
"Ruiz, GR, Bandera, CF",2017,APPLIED ENERGY,Analysis of uncertainty indices used for building envelope calibration,10.1016/j.apenergy.2016.10.054,"{model, network, optim}; {climat, chang, mitig}; {energi, build, consumpt}","{heat, thermal, comfort}; {emiss, carbon, ghg}"
"Schutz, T, Schiffer, L, Harb, H, Fuchs, M, Muller, D",2017,APPLIED ENERGY,Optimal design of energy conversion units and envelopes for residential building retrofits using a comprehensive MILP model,10.1016/j.apenergy.2016.10.049,"{model, network, optim}; {energi, build, consumpt}; {heat, thermal, comfort}","{emiss, carbon, ghg}"
"Birchmore, R, Davies, K, Etherington, P, Tait, R, Pivac, A",2017,BUILDING RESEARCH AND INFORMATION,Overheating in Auckland homes: testing and interventions in full-scale and simulated houses,10.1080/09613218.2017.1232857,"{heat, thermal, comfort}","{activ, school, health}; {energi, build, consumpt}"
"Tong, ZM, Yang, B, Hopke, PK, Zhang, KM",2017,ENVIRONMENTAL POLLUTION,Microenvironmental air quality impact of a commercial-scale biomass heating system,10.1016/j.envpol.2016.11.025,"{air, pollut, qualiti}; {heat, thermal, comfort}","{climat, chang, mitig}; {emiss, carbon, ghg}; {model, network, optim}"
"Linzalone, N, Coi, A, Lauriola, P, Luise, D, Pedone, A, Romizi, R, Sallese, D, Bianchi, F",2017,WASTE MANAGEMENT,Participatory health impact assessment used to support decision-making in waste management planning: A replicable experience from Italy,10.1016/j.wasman.2016.09.035,"{develop, sustain, plan}; {wast, manag, solid}","{activ, school, health}"
"Cai, YP, Applegate, S, Yue, WC, Cai, JY, Wang, X, Liu, GY, Li, CH",2017,ENERGY POLICY,A hybrid life cycle and multi-criteria decision analysis approach for identifying sustainable development strategies of Beijing's taxi fleet,10.1016/j.enpol.2016.09.047,"{vehicl, electr, charg}; {develop, sustain, plan}","{air, pollut, qualiti}; {polici, instrument, effect}"
"Santos, G",2017,TRANSPORT POLICY,Road fuel taxes in Europe: Do they internalize road transport externalities?,10.1016/j.tranpol.2016.09.009,"{price, congest, road}","{vehicl, electr, charg}; {transport, public, access}; {polici, instrument, effect}"
"Blake, LI, Halim, FA, Gray, C, Mair, R, Manning, DAC, Sallis, P, Hutchinson, H, Gray, ND",2017,WASTE MANAGEMENT,Evaluating an anaerobic digestion (AD) feedstock derived from a novel non-source segregated municipal solid waste (MSW) product,10.1016/j.wasman.2016.10.031,"{treatment, wastewat, plant}; {wast, manag, solid}","{develop, sustain, plan}"
"Wei, W, Mei, SW, Wu, L, Shahidehpour, M, Fang, YJ",2017,IEEE TRANSACTIONS ON SMART GRID,Optimal Traffic-Power Flow in Urban Electrified Transportation Networks,10.1109/TSG.2016.2612239,"{model, network, optim}; {vehicl, electr, charg}; {toll, lane, link}","{transport, public, access}; {price, congest, road}"
"Tan, S, Yang, J, Yan, JY, Lee, C, Hashim, H, Chen, B",2017,APPLIED ENERGY,A holistic low carbon city indicator framework for sustainable development,10.1016/j.apenergy.2016.03.041,"{develop, sustain, plan}","{emiss, carbon, ghg}; {urban, land, citi}"
"Wessel, N, Widener, MJ",2017,JOURNAL OF GEOGRAPHICAL SYSTEMS,Discovering the space-time dimensions of schedule padding and delay from GTFS and real-time transit data,10.1007/s10109-016-0244-8,"{transit, rail, station}","{model, network, optim}"
"Yu, C, He, ZC",2017,JOURNAL OF TRANSPORT GEOGRAPHY,Analysing the spatial-temporal characteristics of bus travel demand using the heat map,10.1016/j.jtrangeo.2016.11.009,"{bus, servic, oper}; {travel, mode, choic}; {transit, rail, station}","{urban, land, citi}"
"Ruiz, M, Segui-Pons, JM, Mateu-LLado, J",2017,JOURNAL OF TRANSPORT GEOGRAPHY,Improving Bus Service Levels and social equity through bus frequency modelling,10.1016/j.jtrangeo.2016.12.005,"{bus, servic, oper}; {transport, public, access}; {model, network, optim}",
"Thygesen, R",2017,ENERGIES,An Analysis of Different Solar-Assisted Heating Systems and Their Effect on the Energy Performance of Multifamily Buildings-A Swedish Case,10.3390/en10010088,"{energi, build, consumpt}","{heat, thermal, comfort}"
"Wu, SM, Lei, YL, Li, ST",2017,NATURAL HAZARDS,Provincial carbon footprints and interprovincial transfer of embodied CO2 emissions in China,10.1007/s11069-016-2585-5,"{emiss, carbon, ghg}",
"Li, N, Ma, D, Chen, WY",2017,APPLIED ENERGY,Quantifying the impacts of decarbonisation in China's cement sector: A perspective from an integrated assessment approach,10.1016/j.apenergy.2015.12.112,"{emiss, carbon, ghg}; {energi, build, consumpt}","{model, network, optim}; {develop, sustain, plan}"
"Ho, WS, Hashim, H, Lim, JS, Lee, CT, Sam, KC, Tan, ST",2017,APPLIED ENERGY,Waste Management Pinch Analysis (WAMPA): Application of Pinch Analysis for greenhouse gas (GHG) emission reduction in municipal solid waste management,10.1016/j.apenergy.2016.01.044,"{wast, manag, solid}; {emiss, carbon, ghg}; {recycl, household, collect}",
"Trihadiningrum, Y, Laksono, IJ, Dhokhikah, Y, Moesriati, A, Radita, DR, Sunaryo, S",2017,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,"Community activities in residential solid waste reduction in Tenggilis Mejoyo District, Surabaya City, Indonesia",10.1007/s10163-015-0440-5,"{wast, manag, solid}; {recycl, household, collect}; {treatment, wastewat, plant}; {activ, school, health}","{develop, sustain, plan}; {emiss, carbon, ghg}"
"Yao, L, Lim, WH, Tsai, TS",2017,IEEE TRANSACTIONS ON SMART GRID,A Real-Time Charging Scheme for Demand Response in Electric Vehicle Parking Station,10.1109/TSG.2016.2582749,"{vehicl, electr, charg}; {model, network, optim}; {park, space, price}",
"Crawford, F, Watling, DP, Connors, RD",2017,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,A statistical method for estimating predictable differences between daily traffic flow profiles,10.1016/j.trb.2016.11.004,"{model, network, optim}","{travel, mode, choic}; {activ, school, health}; {polici, instrument, effect}"
"Song, ZQ, He, Y, Zhang, LH",2017,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,Integrated planning of park-and-ride facilities and transit service,10.1016/j.trc.2016.11.017,"{model, network, optim}; {transit, rail, station}","{travel, mode, choic}; {bus, servic, oper}"
"Kusters, A",2017,SOCIAL & CULTURAL GEOGRAPHY,Autogestion and competing hierarchies: deaf and other perspectives on diversity and the right to occupy space in the Mumbai surburban trains,10.1080/14649365.2016.1171387,"{travel, mode, choic}","{activ, school, health}; {develop, sustain, plan}"
"Kovacic, D, Usenik, J, Bogataj, M",2017,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,Optimal decisions on investments in Urban Energy Cogeneration plants - Extended MRP and fuzzy approach to the stochastic systems,10.1016/j.ijpe.2016.02.016,"{wast, manag, solid}; {treatment, wastewat, plant}","{energi, build, consumpt}; {model, network, optim}; {develop, sustain, plan}; {emiss, carbon, ghg}"
"Song, Y, Preston, J, Ogilvie, D",2017,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,New walking and cycling infrastructure and modal shift in the UK: A quasi-experimental panel study,10.1016/j.tra.2016.11.017,"{activ, school, health}; {bicycl, cycl, cyclist}; {travel, mode, choic}","{develop, sustain, plan}"
"Guzman, LA, Oviedo, D, Rivera, C",2017,JOURNAL OF TRANSPORT GEOGRAPHY,Assessing equity in transport accessibility to work and study: The Bogota region,10.1016/j.jtrangeo.2016.12.016,"{transport, public, access}; {activ, school, health}; {develop, sustain, plan}; {polici, instrument, effect}","{urban, land, citi}; {travel, mode, choic}"
"Hai, HT, Hung, HV, Quang, ND",2017,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,An overview of electronic waste recycling in Vietnam,10.1007/s10163-015-0448-x,"{recycl, household, collect}; {wast, manag, solid}","{develop, sustain, plan}"
"Soudani, L, Woloszyn, M, Fabbri, A, Morel, JC, Grillet, AC",2017,SOLAR ENERGY,Energy evaluation of rammed earth walls using long term in-situ measurements,10.1016/j.solener.2016.11.002,"{heat, thermal, comfort}","{develop, sustain, plan}"
"Lu, M, Sun, C, Zheng, SQ",2017,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Congestion and pollution consequences of driving-to-school trips: A case study in Beijing,10.1016/j.trd.2016.10.023,"{activ, school, health}; {price, congest, road}",
"Basosi, R, Casazza, M, Schnitzer, H",2017,ENERGY POLICY,Energy policy within and beyond urban systems,10.1016/j.enpol.2016.09.064,,
"Christiansen, P, Engebretsen, O, Fearnley, N, Hanssen, JU",2017,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Parking facilities and the built environment: Impacts on travel behaviour,10.1016/j.tra.2016.10.025,"{park, space, price}; {travel, mode, choic}","{urban, land, citi}"
"Hu, YJ, Han, R, Tang, BJ",2017,NATURAL HAZARDS,Research on the initial allocation of carbon emission quotas: evidence from China,10.1007/s11069-016-2628-y,"{emiss, carbon, ghg}","{develop, sustain, plan}"
"Mortberg, U, Goldenberg, R, Kalantari, Z, Kordas, O, Deal, B, Balfors, B, Cvetkovic, V",2017,ENERGY POLICY,Integrating ecosystem services in the assessment of urban energy trajectories - A study of the Stockholm Region,10.1016/j.enpol.2016.09.031,"{urban, land, citi}; {develop, sustain, plan}; {polici, instrument, effect}; {energi, build, consumpt}","{bus, servic, oper}; {transport, public, access}"
"Mishina, Y, Muromachi, Y",2017,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Are potential reductions in CO2 emissions via hybrid electric vehicles actualized in real traffic? The case of Japan,10.1016/j.trd.2016.11.019,"{vehicl, electr, charg}; {emiss, carbon, ghg}",
"Martinez, LM, Correia, GHD, Moura, F, Lopes, MM",2017,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,"Insights into carsharing demand dynamics: Outputs of an agent-based model application to Lisbon, Portugal",10.1080/15568318.2016.1226997,"{travel, mode, choic}; {model, network, optim}","{bus, servic, oper}; {vehicl, electr, charg}"
"Bhat, CR, Astroza, S, Hamdi, AS",2017,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,A spatial generalized ordered-response model with skew normal kernel error terms with an application to bicycling frequency,10.1016/j.trb.2016.10.014,"{bicycl, cycl, cyclist}","{model, network, optim}; {develop, sustain, plan}; {travel, mode, choic}"
"Han, HY, Zhang, ZJ",2017,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,The impact of the policy of municipal solid waste source-separated collection on waste reduction: a case study of China,10.1007/s10163-015-0434-3,"{wast, manag, solid}; {recycl, household, collect}","{emiss, carbon, ghg}; {polici, instrument, effect}"
"Mueller, N, Rojas-Rueda, D, Basagana, X, Cirach, M, Cole-Hunter, T, Dadvand, P, Donaire-Gonzalez, D, Foraster, M, Gascon, M, Martinez, D, Tonne, C, Triguero-Mas, M, Valentin, A, Nieuwenhuijsen, M",2017,ENVIRONMENTAL HEALTH PERSPECTIVES,Urban and Transport Planning Related Exposures and Mortality: A Health Impact Assessment for Cities,10.1289/EHP220,"{air, pollut, qualiti}; {green, build, roof}; {activ, school, health}","{urban, land, citi}; {transport, public, access}; {heat, thermal, comfort}"
"Buehler, R, Pucher, J, Altshuler, A",2017,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,Vienna's path to sustainable transport,10.1080/15568318.2016.1251997,"{polici, instrument, effect}; {transport, public, access}; {develop, sustain, plan}","{travel, mode, choic}; {park, space, price}"
"Panek, J, Benediktsson, K",2017,CITIES,"Emotional mapping and its participatory potential: Opinions about cycling conditions in Reykjavik, Iceland",10.1016/j.cities.2016.11.005,"{bicycl, cycl, cyclist}; {develop, sustain, plan}","{urban, land, citi}"
"Raharjo, S, Matsumoto, T, Ihsan, T, Rachman, I, Gustin, L",2017,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,Community-based solid waste bank program for municipal solid waste management improvement in Indonesia: a case study of Padang city,10.1007/s10163-015-0401-z,"{wast, manag, solid}; {recycl, household, collect}","{develop, sustain, plan}"
"Wang, YF, de Groot, R, Bakker, F, Wortche, H, Leemans, R",2017,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,Thermal comfort in urban green spaces: a survey on a Dutch university campus,10.1007/s00484-016-1193-0,"{heat, thermal, comfort}; {green, build, roof}","{activ, school, health}; {urban, land, citi}"
"Culver, G",2017,JOURNAL OF TRANSPORT GEOGRAPHY,"Mobility and the making of the neoliberal ""creative city"": The streetcar as a creative city project?",10.1016/j.jtrangeo.2016.11.005,"{develop, sustain, plan}; {urban, land, citi}",
"Chini, CM, Canning, JF, Schreiber, KL, Peschel, JM, Stillwell, AS",2017,SUSTAINABILITY,"The Green Experiment: Cities, Green Stormwater Infrastructure, and Sustainability",10.3390/su9010105,"{green, build, roof}; {develop, sustain, plan}; {polici, instrument, effect}","{bicycl, cycl, cyclist}; {model, network, optim}"
"Lawson, SR, Newman, P, Monz, C",2017,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,A systems-based approach to address unintended consequences of demand-driven transportation planning in national parks and public lands,10.1080/15568318.2016.1194504,"{park, space, price}; {transport, public, access}; {develop, sustain, plan}","{urban, land, citi}"
"Correa, J, Harks, T, Kreuzen, VJC, Matuschke, J",2017,OPERATIONS RESEARCH,Fare Evasion in Transit Networks,10.1287/opre.2016.1560,"{model, network, optim}","{transit, rail, station}; {bus, servic, oper}"
"Yang, ZS, Jia, P, Liu, WD, Yin, HC",2017,JOURNAL OF TRANSPORT GEOGRAPHY,Car ownership and urban development in Chinese cities: A panel data analysis,10.1016/j.jtrangeo.2016.11.015,"{urban, land, citi}; {travel, mode, choic}","{activ, school, health}"
"Ning, Y, Li, YD, Yang, SS, Ju, CJ",2017,SUSTAINABILITY,"Exploring Socio-Technical Features of Green Interior Design of Residential Buildings: Indicators, Interdependence and Embeddedness",10.3390/su9010033,"{green, build, roof}; {develop, sustain, plan}","{model, network, optim}"
"Geng, JC, Long, RY, Chen, H, Yue, T, Li, WB, Li, QW",2017,SUSTAINABILITY,Exploring Multiple Motivations on Urban Residents' Travel Mode Choices: An Empirical Study from Jiangsu Province in China,10.3390/su9010136,"{travel, mode, choic}; {green, build, roof}","{polici, instrument, effect}; {activ, school, health}"
"Lin, BQ, Liu, WS",2017,SUSTAINABILITY,Scenario Prediction of Energy Consumption and CO2 Emissions in China's Machinery Industry,10.3390/su9010087,"{emiss, carbon, ghg}; {energi, build, consumpt}",
"Xue, J, Walnum, HJ, Aall, C, Naess, P",2017,SUSTAINABILITY,Two Contrasting Scenarios for a Zero-Emission Future in a High-Consumption Society,10.3390/su9010020,"{climat, chang, mitig}; {develop, sustain, plan}","{polici, instrument, effect}; {heat, thermal, comfort}; {green, build, roof}; {urban, land, citi}"
"Jia, SW, Yang, K, Zhao, JJ, Yan, GL",2017,MATHEMATICAL PROBLEMS IN ENGINEERING,The Traffic Congestion Charging Fee Management Model Based on the System Dynamics Approach,10.1155/2017/3024898,"{price, congest, road}; {model, network, optim}; {vehicl, electr, charg}","{travel, mode, choic}"
"Sattarpour, T, Farsadi, M",2017,INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS,Parking lot allocation with maximum economic benefit in a distribution network,10.1002/etep.2234,"{park, space, price}; {vehicl, electr, charg}; {model, network, optim}",
"Notteboom, T, Parola, F, Satta, G, Risitano, M",2017,TRANSPORT REVIEWS,A taxonomy of logistics centres: overcoming conceptual ambiguity,10.1080/01441647.2016.1231234,"{develop, sustain, plan}",
"Colicchia, C, Creazza, A, Dallari, F",2017,PRODUCTION PLANNING & CONTROL,Lean and green supply chain management through intermodal transport: insights from the fast moving consumer goods industry,10.1080/09537287.2017.1282642,"{develop, sustain, plan}; {green, build, roof}; {transport, public, access}",
"Ratajczyk, N, Wagner, I, Wolanska-Kaminska, A, Jurczak, T, Zalewski, M",2017,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,University's multi-scale initiatives for redefining city development,10.1108/IJSHE-05-2015-0089,"{develop, sustain, plan}; {urban, land, citi}","{green, build, roof}"
"Liu, ZL, Ma, J, Chai, YW",2017,URBAN GEOGRAPHY,"Neighborhood-scale urban form, travel behavior, and CO2 emissions in Beijing: implications for low-carbon urban planning",10.1080/02723638.2016.1191796,"{urban, land, citi}; {travel, mode, choic}; {transit, rail, station}; {emiss, carbon, ghg}","{activ, school, health}; {climat, chang, mitig}"
"Wang, XJ, Jia, MS, Lin, XY, Xu, Y, Ye, X, Kao, CM, Chen, SH",2017,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,"A comparison of CH4, N2O and CO2 emissions from three different cover types in a municipal solid waste landfill",10.1080/10962247.2016.1268547,"{emiss, carbon, ghg}; {wast, manag, solid}","{heat, thermal, comfort}; {treatment, wastewat, plant}; {air, pollut, qualiti}"
"Fan, W",2017,TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH,Social welfare maximization by optimal toll design for congestion management: models and comprehensive numerical results,10.1080/19427867.2016.1175165,"{toll, lane, link}; {model, network, optim}",
"Panapakidis, IP, Dagoumas, AS",2017,ENERGY,Day-ahead natural gas demand forecasting based on the combination of wavelet transform and ANFIS/genetic algorithm/neural network model,10.1016/j.energy.2016.12.033,"{model, network, optim}",
"Yao, BZ, Cao, QD, Jin, L, Zhang, MH, Zhao, YB",2017,PROMET-TRAFFIC & TRANSPORTATION,CIRCLE LINE OPTIMIZATION OF SHUTTLE BUS IN CENTRAL BUSINESS DISTRICT WITHOUT TRANSIT HUB,,"{bus, servic, oper}; {model, network, optim}",
"Handakas, E, Manariotis, I, Yannopoulos, P, Zarkadas, I, Sarigiannis, D",2017,FRESENIUS ENVIRONMENTAL BULLETIN,DECISION SUPPORT TOOL FOR URBAN SOLID WASTE MANAGEMENT,,"{wast, manag, solid}; {develop, sustain, plan}; {emiss, carbon, ghg}; {treatment, wastewat, plant}",
"Choi, BE, Shin, JH, Lee, JH, Kim, SS, Cho, YH",2017,INTERNATIONAL JOURNAL OF POLYMER SCIENCE,Establishment of Passive Energy Conservation Measure and Economic Evaluation of Fenestration System in Nonresidential Building of Korea,10.1155/2017/8681737,"{energi, build, consumpt}; {heat, thermal, comfort}",
"Ramasamy, S, Adalarasu, K, Patel, TN",2017,BIOMEDICAL RESEARCH-INDIA,Evaluation of driving-related musculoskeletal disorders in motorbike riders using Quick Exposure Check (QEC),,"{activ, school, health}; {vehicl, electr, charg}","{develop, sustain, plan}; {travel, mode, choic}"
"Cruz, L, Barata, E, Ferreira, JP, Freire, F",2017,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,Greening transportation and parking at University of Coimbra,10.1108/IJSHE-04-2015-0069,"{park, space, price}; {develop, sustain, plan}; {transport, public, access}","{emiss, carbon, ghg}; {travel, mode, choic}; {green, build, roof}"
"Isikli, E, Aydin, N, Celik, E, Gumus, AT",2017,JOURNAL OF PUBLIC TRANSPORTATION,Identifying Key Factors of Rail Transit Service Quality: An Empirical Analysis for Istanbul,,"{transport, public, access}; {bus, servic, oper}; {transit, rail, station}; {travel, mode, choic}","{develop, sustain, plan}"
"Karafakioglu, Y, Gene, O",2017,FRESENIUS ENVIRONMENTAL BULLETIN,BIOCHEMICAL EXAMINATION OF WASTE WATER CAUSED BY USAK LEATHER FACILITIES,,"{water, heat, suppli}; {treatment, wastewat, plant}; {wast, manag, solid}",
"King, DA, Saldarriaga, JF",2017,JOURNAL OF PUBLIC TRANSPORTATION,Access to Taxicabs for Unbanked Households: An Exploratory Analysis in New York City,,"{bus, servic, oper}; {transit, rail, station}; {develop, sustain, plan}","{green, build, roof}"
"de Oliveira, KMP, Julio, PDD, Tsunada, MS, de Araujo, RP, Suarez, YR, Grisolia, AB",2017,BIOSCIENCE JOURNAL,EFFICIENCY ANALYSIS OF THE AUSTRALIAN WASTEWATER TREATMENT SYSTEM IN A PIG SLAUGHTERHOUSE,,"{treatment, wastewat, plant}; {water, heat, suppli}; {wast, manag, solid}",
"Osowski, C, Waterson, B",2017,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,Establishing the validity of cycle path capacity assumptions in the Highway Capacity Manual,10.1080/15568318.2016.1266424,"{bicycl, cycl, cyclist}; {model, network, optim}; {develop, sustain, plan}",
"Hopkins, D, Mandic, S",2017,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,Perceptions of cycling among high school students and their parents,10.1080/15568318.2016.1253803,"{activ, school, health}; {bicycl, cycl, cyclist}; {transport, public, access}",
"Gabbe, CJ, Pierce, G",2017,HOUSING POLICY DEBATE,Hidden Costs and Deadweight Losses: Bundled Parking and Residential Rents in the Metropolitan United States,10.1080/10511482.2016.1205647,"{park, space, price}; {price, congest, road}","{heat, thermal, comfort}"
"Webb, J, Hawkey, D",2017,JOURNAL OF CULTURAL ECONOMY,On (not) assembling a market for sustainable energy: heat network infrastructure and British cities,10.1080/17530350.2016.1226193,"{develop, sustain, plan}; {model, network, optim}","{emiss, carbon, ghg}; {climat, chang, mitig}; {heat, thermal, comfort}; {polici, instrument, effect}"
"Jhala, K, Natarajan, B, Pahwa, A, Erickson, L",2017,ELECTRIC POWER COMPONENTS AND SYSTEMS,Coordinated Electric Vehicle Charging for Commercial Parking Lot with Renewable Energy Sources,10.1080/15325008.2016.1248253,"{vehicl, electr, charg}; {park, space, price}; {price, congest, road}","{model, network, optim}; {energi, build, consumpt}"
"Tivadar, M, Heddebaut, O",2017,TRANSPORTATION PLANNING AND TECHNOLOGY,A commuting model for the analysis of the impacts of a tramway project: application to the Lens area,10.1080/03081060.2017.1283161,"{urban, land, citi}; {price, congest, road}; {travel, mode, choic}; {toll, lane, link}","{park, space, price}; {air, pollut, qualiti}; {transport, public, access}; {develop, sustain, plan}"
"Brueckner, JK, Franco, SF",2017,JOURNAL OF ECONOMIC GEOGRAPHY,Parking and Urban Form,10.1093/jeg/lbv048,"{park, space, price}","{urban, land, citi}"
"Mitropoulos, L, Adamos, G, Nathanail, E, Yatskiv, I, Kabashkin, I",2017,TRANSPORT,BUILDING ON EUROPEAN SCIENTIFIC EXCELLENCE TO DEVELOP AN EDUCATIONAL PROGRAM ON INTERMODAL CONNECTIONS FOR LATVIA AND THE REGION,10.3846/16484142.2017.1280851,"{develop, sustain, plan}","{urban, land, citi}; {transport, public, access}"
"Brudermann, T, Sangkakool, T",2017,URBAN FORESTRY & URBAN GREENING,Green roofs in temperate climate cities in Europe - An analysis of key decision factors,10.1016/j.ufug.2016.12.008,"{green, build, roof}; {climat, chang, mitig}; {develop, sustain, plan}",
