label,timeset,weight<total_link_strength>,weight<norm._citations>,score<citations>,score<norm._citations>,score<pub._year>,weight<links>,weight<citations>,cluster,title,source,description,url,main_topic
mell (2013),,48,1.5805,16,1.5805,2013,39,16,3,"=MID(N12,FIND(""Title:"",N12)+15,FIND(""<"",N12,FIND(""Title:"",N12)+15)-FIND(""Title:"",N12)-15)","=MID(N12,FIND(""Source:"",N12)+16,FIND("","",N12,FIND(""Source:"",N12)+15)-FIND(""Source:"",N12)-16)","<table><tr><td>Authors:</td><td>mell, ic; henneberry, j; hehl-lange, s; keskin, b</td></tr><tr><td>Title:</td><td>promoting urban greening: valuing the development of green infrastructure investments in the urban core of manchester, uk</td></tr><tr><td>Source:</td><td>urban forestry & urban greening, 12(3), 296-306</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.ufug.2013.04.006,"{green, build, roof}"
williams (2013),,180,0.7903,8,0.7903,2013,149,8,3,"=MID(N13,FIND(""Title:"",N13)+15,FIND(""<"",N13,FIND(""Title:"",N13)+15)-FIND(""Title:"",N13)-15)","=MID(N13,FIND(""Source:"",N13)+16,FIND("","",N13,FIND(""Source:"",N13)+15)-FIND(""Source:"",N13)-16)","<table><tr><td>Authors:</td><td>williams, j</td></tr><tr><td>Title:</td><td>the role of planning in delivering low-carbon urban infrastructure</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(4), 683-706</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b38180,"{develop, sustain, plan}"
chowdhury (2013),,45,1.0866,11,1.0866,2013,36,11,2,"=MID(N14,FIND(""Title:"",N14)+15,FIND(""<"",N14,FIND(""Title:"",N14)+15)-FIND(""Title:"",N14)-15)","=MID(N14,FIND(""Source:"",N14)+16,FIND("","",N14,FIND(""Source:"",N14)+15)-FIND(""Source:"",N14)-16)","<table><tr><td>Authors:</td><td>chowdhury, s; ceder, a</td></tr><tr><td>Title:</td><td>definition of planned and unplanned transfer of public transport service and user decisions to use routes with transfers</td></tr><tr><td>Source:</td><td>journal of public transportation, 16(2), 1-20</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",,
addie (2013),,93,0.7903,8,0.7903,2013,55,8,3,"=MID(N15,FIND(""Title:"",N15)+15,FIND(""<"",N15,FIND(""Title:"",N15)+15)-FIND(""Title:"",N15)-15)","=MID(N15,FIND(""Source:"",N15)+16,FIND("","",N15,FIND(""Source:"",N15)+15)-FIND(""Source:"",N15)-16)","<table><tr><td>Authors:</td><td>addie, jpd</td></tr><tr><td>Title:</td><td>metropolitics in motion: the dynamics of transportation and state reterritorialization in the chicago and toronto city-regions</td></tr><tr><td>Source:</td><td>urban geography, 34(2), 188-217</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1080/02723638.2013.778651,"{urban, land, citi}"
kjellstrom (2013),,60,1.9757,20,1.9757,2013,49,20,5,"=MID(N16,FIND(""Title:"",N16)+15,FIND(""<"",N16,FIND(""Title:"",N16)+15)-FIND(""Title:"",N16)-15)","=MID(N16,FIND(""Source:"",N16)+16,FIND("","",N16,FIND(""Source:"",N16)+15)-FIND(""Source:"",N16)-16)","<table><tr><td>Authors:</td><td>kjellstrom, t; mcmichael, aj</td></tr><tr><td>Title:</td><td>climate change threats to population health and well-being: the imperative of protective solutions that will last</td></tr><tr><td>Source:</td><td>global health action, 6, 1-9</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3402/gha.v6i0.20816,"{climat, chang, mitig}"
zafra-gomez (2013),,67,2.4696,25,2.4696,2013,17,25,6,"=MID(N17,FIND(""Title:"",N17)+15,FIND(""<"",N17,FIND(""Title:"",N17)+15)-FIND(""Title:"",N17)-15)","=MID(N17,FIND(""Source:"",N17)+16,FIND("","",N17,FIND(""Source:"",N17)+15)-FIND(""Source:"",N17)-16)","<table><tr><td>Authors:</td><td>zafra-gomez, jl; prior, d; diaz, amp; lopez-hernandez, am</td></tr><tr><td>Title:</td><td>reducing costs in times of crisis: delivery forms in small and medium sized local governments' waste management services</td></tr><tr><td>Source:</td><td>public administration, 91(1), 51-68</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1111/j.1467-9299.2011.02012.x,"{bus, servic, oper}"
azari (2013),,312,1.1854,12,1.1854,2013,166,12,7,"=MID(N18,FIND(""Title:"",N18)+15,FIND(""<"",N18,FIND(""Title:"",N18)+15)-FIND(""Title:"",N18)-15)","=MID(N18,FIND(""Source:"",N18)+16,FIND("","",N18,FIND(""Source:"",N18)+15)-FIND(""Source:"",N18)-16)","<table><tr><td>Authors:</td><td>azari, ka; arintono, s; hamid, h; rahmat, raok</td></tr><tr><td>Title:</td><td>modelling demand under parking and cordon pricing policy</td></tr><tr><td>Source:</td><td>transport policy, 25, 1-9</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.10.003,"{park, space, price}"
redman (2013),,96,8.0014,81,8.0014,2013,60,81,8,"=MID(N19,FIND(""Title:"",N19)+15,FIND(""<"",N19,FIND(""Title:"",N19)+15)-FIND(""Title:"",N19)-15)","=MID(N19,FIND(""Source:"",N19)+16,FIND("","",N19,FIND(""Source:"",N19)+15)-FIND(""Source:"",N19)-16)","<table><tr><td>Authors:</td><td>redman, l; friman, m; garling, t; hartig, t</td></tr><tr><td>Title:</td><td>quality attributes of public transport that attract car users: a research review</td></tr><tr><td>Source:</td><td>transport policy, 25, 119-127</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.11.005,"{bus, servic, oper}"
schneider (2013),,249,2.1732,22,2.1732,2013,153,22,5,"=MID(N20,FIND(""Title:"",N20)+15,FIND(""<"",N20,FIND(""Title:"",N20)+15)-FIND(""Title:"",N20)-15)","=MID(N20,FIND(""Source:"",N20)+16,FIND("","",N20,FIND(""Source:"",N20)+15)-FIND(""Source:"",N20)-16)","<table><tr><td>Authors:</td><td>schneider, rj</td></tr><tr><td>Title:</td><td>theory of routine mode choice decisions: an operational framework to increase sustainable transportation</td></tr><tr><td>Source:</td><td>transport policy, 25, 128-137</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.10.007,"{bicycl, cycl, cyclist}"
duncan (2013),,207,0.7903,8,0.7903,2013,132,8,2,"=MID(N21,FIND(""Title:"",N21)+15,FIND(""<"",N21,FIND(""Title:"",N21)+15)-FIND(""Title:"",N21)-15)","=MID(N21,FIND(""Source:"",N21)+16,FIND("","",N21,FIND(""Source:"",N21)+15)-FIND(""Source:"",N21)-16)","<table><tr><td>Authors:</td><td>duncan, m; christensen, rk</td></tr><tr><td>Title:</td><td>an analysis of park-and-ride provision at light rail stations across the us</td></tr><tr><td>Source:</td><td>transport policy, 25, 148-157</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.11.014,"{park, space, price}"
hensher (2013),,230,1.6793,17,1.6793,2013,106,17,7,"=MID(N22,FIND(""Title:"",N22)+15,FIND(""<"",N22,FIND(""Title:"",N22)+15)-FIND(""Title:"",N22)-15)","=MID(N22,FIND(""Source:"",N22)+16,FIND("","",N22,FIND(""Source:"",N22)+15)-FIND(""Source:"",N22)-16)","<table><tr><td>Authors:</td><td>hensher, da; li, z</td></tr><tr><td>Title:</td><td>referendum voting in road pricing reform: a review of the evidence</td></tr><tr><td>Source:</td><td>transport policy, 25, 186-197</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2012.11.012,"{price, congest, road}"
young (2013),,75,2.9635,30,2.9635,2013,41,30,3,"=MID(N23,FIND(""Title:"",N23)+15,FIND(""<"",N23,FIND(""Title:"",N23)+15)-FIND(""Title:"",N23)-15)","=MID(N23,FIND(""Source:"",N23)+16,FIND("","",N23,FIND(""Source:"",N23)+15)-FIND(""Source:"",N23)-16)","<table><tr><td>Authors:</td><td>young, rf; mcpherson, eg</td></tr><tr><td>Title:</td><td>governing metropolitan green infrastructure in the united states</td></tr><tr><td>Source:</td><td>landscape and urban planning, 109(1), 67-75</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.landurbplan.2012.09.004,"{develop, sustain, plan}"
lawson (2013),,82,2.3708,24,2.3708,2013,51,24,5,"=MID(N24,FIND(""Title:"",N24)+15,FIND(""<"",N24,FIND(""Title:"",N24)+15)-FIND(""Title:"",N24)-15)","=MID(N24,FIND(""Source:"",N24)+16,FIND("","",N24,FIND(""Source:"",N24)+15)-FIND(""Source:"",N24)-16)","<table><tr><td>Authors:</td><td>lawson, ar; pakrashi, v; ghosh, b; szeto, wy</td></tr><tr><td>Title:</td><td>perception of safety of cyclists in dublin city</td></tr><tr><td>Source:</td><td>accident analysis and prevention, 50, 499-511</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.aap.2012.05.029,"{bicycl, cycl, cyclist}"
de carvalho (2013),,66,0.6915,7,0.6915,2013,41,7,4,"=MID(N25,FIND(""Title:"",N25)+15,FIND(""<"",N25,FIND(""Title:"",N25)+15)-FIND(""Title:"",N25)-15)","=MID(N25,FIND(""Source:"",N25)+16,FIND("","",N25,FIND(""Source:"",N25)+15)-FIND(""Source:"",N25)-16)","<table><tr><td>Authors:</td><td>de carvalho, pm; da silva, mg; ramos, je</td></tr><tr><td>Title:</td><td>influence of weather and indoor climate on clothing of occupants in naturally ventilated school buildings</td></tr><tr><td>Source:</td><td>building and environment, 59, 38-46</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.buildenv.2012.08.005,"{heat, thermal, comfort}"
borge-diez (2013),,49,0.9878,10,0.9878,2013,28,10,4,"=MID(N26,FIND(""Title:"",N26)+15,FIND(""<"",N26,FIND(""Title:"",N26)+15)-FIND(""Title:"",N26)-15)","=MID(N26,FIND(""Source:"",N26)+16,FIND("","",N26,FIND(""Source:"",N26)+15)-FIND(""Source:"",N26)-16)","<table><tr><td>Authors:</td><td>borge-diez, d; colmenar-santos, a; perez-molina, c; castro-gil, m</td></tr><tr><td>Title:</td><td>passive climatization using a cool roof and natural ventilation for internally displaced persons in hot climates: case study for haiti</td></tr><tr><td>Source:</td><td>building and environment, 59, 116-126</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.buildenv.2012.08.013,"{heat, thermal, comfort}"
colmenar-santos (2013),,78,2.0744,21,2.0744,2013,71,21,4,"=MID(N27,FIND(""Title:"",N27)+15,FIND(""<"",N27,FIND(""Title:"",N27)+15)-FIND(""Title:"",N27)-15)","=MID(N27,FIND(""Source:"",N27)+16,FIND("","",N27,FIND(""Source:"",N27)+15)-FIND(""Source:"",N27)-16)","<table><tr><td>Authors:</td><td>colmenar-santos, a; de lober, lnt; borge-diez, d; castro-gil, m</td></tr><tr><td>Title:</td><td>solutions to reduce energy consumption in the management of large buildings</td></tr><tr><td>Source:</td><td>energy and buildings, 56, 66-77</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.10.004,
hamdy (2013),,61,7.705,78,7.705,2013,43,78,4,"=MID(N28,FIND(""Title:"",N28)+15,FIND(""<"",N28,FIND(""Title:"",N28)+15)-FIND(""Title:"",N28)-15)","=MID(N28,FIND(""Source:"",N28)+16,FIND("","",N28,FIND(""Source:"",N28)+15)-FIND(""Source:"",N28)-16)","<table><tr><td>Authors:</td><td>hamdy, m; hasan, a; siren, k</td></tr><tr><td>Title:</td><td>a multi-stage optimization method for cost-optimal and nearly-zero-energy building solutions in line with the epbd-recast 2010</td></tr><tr><td>Source:</td><td>energy and buildings, 56, 189-203</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.08.023,"{energi, build, consumpt}"
slavik (2013),,139,0.7903,8,0.7903,2013,80,8,6,"=MID(N29,FIND(""Title:"",N29)+15,FIND(""<"",N29,FIND(""Title:"",N29)+15)-FIND(""Title:"",N29)-15)","=MID(N29,FIND(""Source:"",N29)+16,FIND("","",N29,FIND(""Source:"",N29)+15)-FIND(""Source:"",N29)-16)","<table><tr><td>Authors:</td><td>slavik, j; pavel, j</td></tr><tr><td>Title:</td><td>do the variable charges really increase the effectiveness and economy of waste management? a case study of the czech republic</td></tr><tr><td>Source:</td><td>resources conservation and recycling, 70, 68-77</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.resconrec.2012.09.013,"{wast, manag, solid}"
giles-corti (2013),,201,7.6063,77,7.6063,2013,105,77,5,"=MID(N30,FIND(""Title:"",N30)+15,FIND(""<"",N30,FIND(""Title:"",N30)+15)-FIND(""Title:"",N30)-15)","=MID(N30,FIND(""Source:"",N30)+16,FIND("","",N30,FIND(""Source:"",N30)+15)-FIND(""Source:"",N30)-16)","<table><tr><td>Authors:</td><td>giles-corti, b; bull, f; knuiman, m; mccormack, g; van niel, k; timperio, a; christian, h; foster, s; divitini, m; middleton, n; boruff, b</td></tr><tr><td>Title:</td><td>the influence of urban design on neighbourhood walking following residential relocation: longitudinal results from the reside study</td></tr><tr><td>Source:</td><td>social science & medicine, 77, 20-30</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.socscimed.2012.10.016,"{activ, school, health}"
armel (2013),,65,8.1989,83,8.1989,2013,44,83,4,"=MID(N31,FIND(""Title:"",N31)+15,FIND(""<"",N31,FIND(""Title:"",N31)+15)-FIND(""Title:"",N31)-15)","=MID(N31,FIND(""Source:"",N31)+16,FIND("","",N31,FIND(""Source:"",N31)+15)-FIND(""Source:"",N31)-16)","<table><tr><td>Authors:</td><td>armel, kc; gupta, a; shrimali, g; albert, a</td></tr><tr><td>Title:</td><td>is disaggregation the holy grail of energy efficiency? the case of electricity</td></tr><tr><td>Source:</td><td>energy policy, 52, 213-234</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.08.062,"{energi, build, consumpt}"
bocker (2013),,77,3.8525,39,3.8525,2013,64,39,5,"=MID(N32,FIND(""Title:"",N32)+15,FIND(""<"",N32,FIND(""Title:"",N32)+15)-FIND(""Title:"",N32)-15)","=MID(N32,FIND(""Source:"",N32)+16,FIND("","",N32,FIND(""Source:"",N32)+15)-FIND(""Source:"",N32)-16)","<table><tr><td>Authors:</td><td>bocker, l; dijst, m; prillwitz, j</td></tr><tr><td>Title:</td><td>impact of everyday weather on individual daily travel behaviours in perspective: a literature review</td></tr><tr><td>Source:</td><td>transport reviews, 33(1), 71-91</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1080/01441647.2012.747114,"{travel, mode, choic}"
soares (2013),,127,1.7781,18,1.7781,2013,40,18,6,"=MID(N33,FIND(""Title:"",N33)+15,FIND(""<"",N33,FIND(""Title:"",N33)+15)-FIND(""Title:"",N33)-15)","=MID(N33,FIND(""Source:"",N33)+16,FIND("","",N33,FIND(""Source:"",N33)+15)-FIND(""Source:"",N33)-16)","<table><tr><td>Authors:</td><td>soares, sr; finotti, ar; da silva, vp; alvarenga, raf</td></tr><tr><td>Title:</td><td>applications of life cycle assessment and cost analysis in health care waste management</td></tr><tr><td>Source:</td><td>waste management, 33(1), 175-183</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.wasman.2012.09.021,"{wast, manag, solid}"
dos santos (2013),,63,0.9878,10,0.9878,2013,59,10,4,"=MID(N34,FIND(""Title:"",N34)+15,FIND(""<"",N34,FIND(""Title:"",N34)+15)-FIND(""Title:"",N34)-15)","=MID(N34,FIND(""Source:"",N34)+16,FIND("","",N34,FIND(""Source:"",N34)+15)-FIND(""Source:"",N34)-16)","<table><tr><td>Authors:</td><td>dos santos, ahc; faga, mtw; dos santos, em</td></tr><tr><td>Title:</td><td>the risks of an energy efficiency policy for buildings based solely on the consumption evaluation of final energy</td></tr><tr><td>Source:</td><td>international journal of electrical power & energy systems, 44(1), 70-77</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.ijepes.2012.07.017,"{energi, build, consumpt}"
qin (2013),,153,1.4817,15,1.4817,2013,129,15,2,"=MID(N35,FIND(""Title:"",N35)+15,FIND(""<"",N35,FIND(""Title:"",N35)+15)-FIND(""Title:"",N35)-15)","=MID(N35,FIND(""Source:"",N35)+16,FIND("","",N35,FIND(""Source:"",N35)+15)-FIND(""Source:"",N35)-16)","<table><tr><td>Authors:</td><td>qin, b; han, ss</td></tr><tr><td>Title:</td><td>planning parameters and household carbon emission: evidence from high- and low-carbon neighborhoods in beijing</td></tr><tr><td>Source:</td><td>habitat international, 37, 52-60</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.habitatint.2011.12.017,"{emiss, carbon, ghg}"
sperling (2013),,50,0.4939,5,0.4939,2013,47,5,5,"=MID(N36,FIND(""Title:"",N36)+15,FIND(""<"",N36,FIND(""Title:"",N36)+15)-FIND(""Title:"",N36)-15)","=MID(N36,FIND(""Source:"",N36)+16,FIND("","",N36,FIND(""Source:"",N36)+15)-FIND(""Source:"",N36)-16)","<table><tr><td>Authors:</td><td>sperling, jb; ramaswami, a</td></tr><tr><td>Title:</td><td>exploring health outcomes as a motivator for low-carbon city development: implications for infrastructure interventions in asian cities</td></tr><tr><td>Source:</td><td>habitat international, 37, 113-123</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.habitatint.2011.12.013,"{water, heat, suppli}"
keirstead (2012),,57,1.1286,15,1.1286,2012,49,15,4,"=MID(N37,FIND(""Title:"",N37)+15,FIND(""<"",N37,FIND(""Title:"",N37)+15)-FIND(""Title:"",N37)-15)","=MID(N37,FIND(""Source:"",N37)+16,FIND("","",N37,FIND(""Source:"",N37)+15)-FIND(""Source:"",N37)-16)","<table><tr><td>Authors:</td><td>keirstead, j; sivakumar, a</td></tr><tr><td>Title:</td><td>using activity-based modeling to simulate urban resource demands at high spatial and temporal resolutions</td></tr><tr><td>Source:</td><td>journal of industrial ecology, 16(6), 889-900</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1111/j.1530-9290.2012.00486.x,"{model, network, optim}"
comodi (2012),,96,1.5048,20,1.5048,2012,82,20,4,"=MID(N38,FIND(""Title:"",N38)+15,FIND(""<"",N38,FIND(""Title:"",N38)+15)-FIND(""Title:"",N38)-15)","=MID(N38,FIND(""Source:"",N38)+16,FIND("","",N38,FIND(""Source:"",N38)+15)-FIND(""Source:"",N38)-16)","<table><tr><td>Authors:</td><td>comodi, g; cioccolanti, l; polonara, f; brandoni, c</td></tr><tr><td>Title:</td><td>local authorities in the context of energy and climate policy</td></tr><tr><td>Source:</td><td>energy policy, 51, 737-748</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.09.019,"{energi, build, consumpt}"
martin (2012),,249,1.2791,17,1.2791,2012,136,17,5,"=MID(N39,FIND(""Title:"",N39)+15,FIND(""<"",N39,FIND(""Title:"",N39)+15)-FIND(""Title:"",N39)-15)","=MID(N39,FIND(""Source:"",N39)+16,FIND("","",N39,FIND(""Source:"",N39)+15)-FIND(""Source:"",N39)-16)","<table><tr><td>Authors:</td><td>martin, a; suhrcke, m; ogilvie, d</td></tr><tr><td>Title:</td><td>financial incentives to promote active travel an evidence review and economic framework</td></tr><tr><td>Source:</td><td>american journal of preventive medicine, 43(6), e45-e57</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.amepre.2012.09.001,"{activ, school, health}"
yao (2012),,422,0.6019,8,0.6019,2012,187,8,1,"=MID(N40,FIND(""Title:"",N40)+15,FIND(""<"",N40,FIND(""Title:"",N40)+15)-FIND(""Title:"",N40)-15)","=MID(N40,FIND(""Source:"",N40)+16,FIND("","",N40,FIND(""Source:"",N40)+15)-FIND(""Source:"",N40)-16)","<table><tr><td>Authors:</td><td>yao, t; wei, mm; zhang, b; friesz, t</td></tr><tr><td>Title:</td><td>congestion derivatives for a traffic bottleneck with heterogeneous commuters</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 46(10), 1454-1473</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2012.07.003,"{travel, mode, choic}"
