,abstract,doc,number,topic,topic_size
11,"A number of cities around the world are associated with very high levels of private motor car usage, and Auckland provides an example of one of these 'hyperautomobile' cities. There are many problems with this system of transportation and dependence on the private car, including environmental, social and city design dimensions. Though there is a clear aspiration to move towards reduced levels of car usage in the city's transport and spatial planning strategies, there are major difficulties in implementation terms. We develop and consider future scenarios to 2041 to reduce these levels of motorization, and subsequent transport CO2 emissions, with a much greater use of public transport, walking and cycling, urban planning, and low emission vehicles. The current implementability of such a 'sustainable mobility' future is however questioned in the current political and social context, and critically debated in terms of the available governance mechanisms and the limited attempts to shape the behaviour of the public. We conclude by calling for a reconsideration of the policy measures being considered, including the range and levels of application and investment; with a much wider framing of the transport planning remit, and carried out within a much stronger participatory framework for decision-making.",WOS:000342311500007,2041,Public transport,
12,"The building sector has a significant share in a county's total greenhouse gas emissions, and as a reaction to the Kyoto commitment most countries are constantly adjusting building energy requirements in order to reduce greenhouse gas emissions and mitigate the climate change. While it is easier to set standards for the building fabric and for technical systems, the impact of occupants on comfort and energy performance in buildings has proven to be important, but is a lot harder to account for. This paper therefore aims to investigate the magnitude of influence of occupants in relation to climate and architectural design on thermal comfort and CO2 emissions in offices in different climate zones of the world. The aim is to identify typical patterns and key parameters for optimisation. For this purpose, a parametric study for a typical cellular office room has been conducted using the simulation software EnergyPlus. Two different occupant scenarios are each compared with three different architectural design variations and modelled in the context of three different locations for the IPCC climate change scenario A2 for 2030. The evaluation of the results is focused on two different modes of operation. For natural ventilation adaptive thermal comfort according to ASHRAE Standard 55 has been evaluated, and for mixed mode operation final energy consumption and resulting CO2 emissions. The results indicate a first approach to estimate comfort levels based on climatic data, architectural design priorities and occupancy. Additionally, warmer climates seem to have larger optimisation potential for comfort and energy performance in offices compared to colder climates. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000328713000016,2030,Thermal comfort,
13,"Urban areas are pivotal to global adaptation and mitigation efforts. But how do cities actually perform in terms of climate change response? This study sheds light on the state of urban climate change adaptation and mitigation planning across Europe. Europe is an excellent test case given its advanced environmental policies and high urbanization. We performed a detailed analysis of 200 large and medium-sized cities across 11 European countries and analysed the cities' climate change adaptation and mitigation plans. We investigate the regional distribution of plans, adaptation and mitigation foci and the extent to which planned greenhouse gas (GHG) reductions contribute to national and international climate objectives. To our knowledge, it is the first study of its kind as it does not rely on self-assessment (questionnaires or social surveys). Our results show that 35 % of European cities studied have no dedicated mitigation plan and 72 % have no adaptation plan. No city has an adaptation plan without a mitigation plan. One quarter of the cities have both an adaptation and a mitigation plan and set quantitative GHG reduction targets, but those vary extensively in scope and ambition. Furthermore, we show that if the planned actions within cities are nationally representative the 11 countries investigated would achieve a 37 % reduction in GHG emissions by 2050, translating into a 27 % reduction in GHG emissions for the EU as a whole. However, the actions would often be insufficient to reach national targets and fall short of the 80 % reduction in GHG emissions recommended to avoid global mean temperature rising by 2 A degrees C above pre-industrial levels.",WOS:000328622900026,2050,Climate change mitigation,
14,"The Spanish economy faces two key issues. The first of these is the significant reliance on non-renewable energy, which reached 76.4% and was 22 points over the European Union average. Secondly, the threat that the fee deficit poses to the sustainability of the National Grid. This fact is forcing the Spanish Government to implement measures focused on tax increases. However, these decisions have done little to contain the situation. This paper proposes the use of sustainable transport models based on electric mobility: smart grids, buses, taxis and electric vehicles, in the city of Leon, Spain (135,059 inhabitants) as an important means for controlling and reducing the fee deficit. Through exhaustive analysis of EV (electric vehicle) market penetration against current Government forecasts, a rigorous profitability study has been conducted for the period 2020-2030 (when smart grids will be ready). By introducing policy modifications, the Net Actual Value internal rate of return and payback figures justify its implementation. Thus, the fee deficit of Leon could be reduced by up to 43%. Finally, an analysis of macroeconomic impacts, such as competitive improvements in the economy, and environmental impact is conducted. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000331669100031,2020,e-Vehicles,
15,"There is universal agreement between the United Nations and governments from the richest to the poorest nations that humanity faces unprecedented global challenges relating to sustainable energy, clean water, low-emission transportation, coping with climate change and natural disasters, and reclaiming use of land. We have invited researchers from a range of eclectic research areas to provide a Roadmap of how superconducting technologies could address these major challenges confronting humanity. Superconductivity has, over the century since its discovery by Kamerlingh Onnes in 1911, promised to provide solutions to many challenges. So far, most superconducting technologies are esoteric systems that are used in laboratories and hospitals. Large science projects have long appreciated the ability of superconductivity to efficiently create high magnetic fields that are otherwise very costly to achieve with ordinary materials. The most successful applications outside of large science are high-field magnets for magnetic resonance imaging, laboratory magnetometers for mineral and materials characterization, filters for mobile communications, and magnetoencephalography for understanding the human brain. The stage is now set for superconductivity to make more general contributions. Humanity uses practically unthinkable amounts of energy to drive our modern way of life. Overall, global power usage has been predicted to almost double from 16.5 to 30 TW in the next four decades (2011 Equinox Summit: Energy 2030 http://wgsi.org/publications-resources). The economy with which electrons carry energy compels the continued quest for efficient superconducting power generation, energy storage, and power transmission. The growing global population requires new arable land and treatment of water, especially in remote areas, and superconductivity offers unique solutions to these problems. Exquisite detectors give warning of changes that are otherwise invisible. Prediction of climate and disasters will be helped by future supercomputer technologies that support huge amounts of data and sophisticated modeling, and with the aid of superconductivity these systems might not require the energy of a large city. We present different sections on applications that could address (or are addressing) a range of environmental issues. The Roadmap covers water purification, power distribution and storage, low-environmental impact transport, environmental sensing (particularly for the removal of unexploded munitions), monitoring the Earth's magnetic fields for earthquakes and major solar activity, and, finally, developing a petaflop supercomputer that only requires 3% of the current supercomputer power provision while being 50 times faster. Access to fresh water. With only 2.5% of the water on Earth being fresh and climate change modeling forecasting that many areas will become drier, the ability to recycle water and achieve compact water recycling systems for sewage or ground water treatment is critical. The first section (by Nishijima) points to the potential of superconducting magnetic separation to enable water recycling and reuse. Energy. The Equinox Summit held in Waterloo Canada 2011 (2011 Equinox Summit: Energy 2030 http://wgsi.org/publications-resources) identified electricity use as humanity's largest contributor to greenhouse gas emissions. Our appetite for electricity is growing faster than for any other form of energy. The communique from the summit said 'Transforming the ways we generate, distribute and store electricity is among the most pressing challenges facing society today .... If we want to stabilize CO2 levels in our atmosphere at 550 parts per million, all of that growth needs to be met by non-carbon forms of energy' (2011 Equinox Summit: Energy 2030 http://wgsi.org/publications-resources). Superconducting technologies can provide the energy efficiencies to achieve, in the European Union alone, 33-65% of the required reduction in greenhouse gas emissions according to the Kyoto Protocol (Hartikainen et al 2003 Supercond. Sci. Technol. 16 963). New technologies would include superconducting energy storage systems to effectively store power generation from renewable sources as well as high-temperature superconducting systems used in generators, transformers and synchronous motors in power stations and heavy-industry facilities. However, to be effective, these systems must be superior to conventional systems and, in reality, market penetration will occur as existing electrical machinery is written off. At current write-off rates, to achieve a 50% transfer to superconducting systems will take 20 years (Hartikainen et al 2003 Supercond. Sci. Technol. 16 963). The Roadmap next considers dc transmission of green power with a section by Eckroad and Marian who provide an update on the development of superconducting power transmission lines in view of recent sustainability studies. The potential of magnetic energy storage is then presented by Coi and Kim, who argue that a successful transition to wind and solar power generation must be harmonized with the conventional electrical network, which requires a storage technology with a fast response and long backup times. Transport. Superconducting Maglev trains and motors for international shipping have the potential to considerably reduce the emissions that contribute to greenhouse gases while improving their economic viability by reducing losses and improving efficiencies. International shipping, alone, contributes 3% of the greenhouse gas emissions. Three sections of the Roadmap identify how high-speed rail can be a major solution to providing fast, low energy, environmentally-friendly transport enabling reduction in automobile and aircraft travel by offering an alternative that is very competitive. With maritime international environmental regulations tightening, HTS motors with the characteristics of high torque and compactness will become important devices for high-performance and low-emission electric ship propulsion systems. A section on the development of a megawatt-class superconducting motor for ship propulsion is presented by Umemoto. Monitoring in manufacturing for waste reduction. Environmental impact from the waste created by the manufacturing sector and the need to make manufacturing efficient can be addressed by terahertz imaging. This technology has great potential in non-destructive testing, industrial process monitoring and control to greatly improve the industry process efficiency and reliability by reducing waste materials and toxic by-products. The section by Du shows how terahertz imaging can provide process and property information such as rust levels under paint that can assist with the reduction of waste in manufacturing and maintenance. Monitoring for naturally occurring disturbances. The environmental and social impact of natural disasters is mounting. Febvre provides the Roadmap for the use of ultra-sensitive magnetometry to understand geomagnetic phenomena and Earth-ionosphere couplings through the study of very small variations of the magnetic field. This magnetic monitoring has many implications for understanding our environment and providing new tools for early warning of natural hazards, either on Earth or in space which will enable us to be better prepared for natural disasters. Restoring environments after military use. Throughout the world, there are many areas confirmed or suspected of being contaminated by unexploded munitions known as unexploded ordnance (UXO). Its presence is the result of wars and training of military forces. Areas affected by UXO contamination are hazardous to the public and have a major influence on the nature of land use. UXO has impact in developed as well as developing nations. For example, the USA has UXO dating back to the American Civil War and countries such as Cambodia are living with landmines as a daily issue due to more recent wars. Underwater UXO has caused severe impacts such as the explosion in 1969 in the waters of Kent in the UK that caused a reading of 4.5 on the Richter scale for earthquake monitors. Another example was a land-based detonation of a 500 kg World War II bomb in Germany killing three people in 2010. There is countless UXO from recent conflicts worldwide. Detection and accurate location with 100% reliability is required to return land to safe civilian use. Keenan provides details of a prototype magnetic gradiometer developed for this purpose. Reducing power needs for high-end IT. Supercomputers are so large that they are close to requiring their own small power plant to support the energy needed to run the computer. For example, in 2011 Facebook data centers and operations used 532 million kW hours of energy. Mukhanov explores the potential of reducing the power dissipation for future supercomputers from more than 500 MW for Exascale systems to 0.2 MW by using superconducting-ferromagnetic Josephson junctions for magnetic memory and programmable logic. Clearly superconductivity is an ultimate energy-saving technology, and its practical implementation will contribute to the reduction of CO2 emissions, improved water purification, reduction of waste and timely preparedness for natural disasters or significant events. This Roadmap shows how the application of superconducting technologies will have a significant impact when they are adopted.",WOS:000325989100003,2030,Building water use,
16,"The building sector is the dominant energy consumer with a total 30% share of the overall energy consumption and accounts for one-third of the greenhouse gas emissions around the world. Moreover, in recent years the energy demands for buildings have increased very rapidly due to increase in the growth rate of population and improvement in living standards of people. Furthermore, fossil fuels will continue to dominate the world's primary energy by 2030. Thus, the increase in energy demand, shortage of fossil fuels and environmental concerns has provided impetus to the development of sustainable building and renewable energy resources. Thermal energy storage is an efficient method for applying to building envelopes to improve the energy efficiency of buildings. This, in turn, reduces the environmental impact related to energy usage. The combination of construction materials and PCM is an efficient way to increase the thermal energy storage capacity of construction elements. Therefore, an extensive review on the incorporation of PCM into construction materials and elements by direct incorporation, immersion, encapsulation, shape-stabilization and form-stable composite PCMs is presented. For the first time, the differentiation between shape-stabilized and form-stable composite PCM has been made. Moreover, various construction materials such as diatomite, expanded perlite and graphite, etc. which are used as supports for formstable composite PCM along with their worldwide availability are extensively discussed. One of the main aims of this review paper is to focus on the test methods which are used to determine the chemical compatibility, thermal properties, thermal stability and thermal conductivity of the PCM. Hence, the details related to calibration, sample preparation, test cell and analysis of test results are comprehensively covered. Finally, because of the renewed interest in integration of PCM in wallboards and concrete, an up-to-date review with focus on PCM enhanced wallboard and concrete for building applications is added. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000332591700068,2030,Thermal comfort,
17,"Technological change has often been presented as a readily accepted means by which long-term greenhouse gas (GHG) emission reductions can be achieved. Cities are the future centers of economic growth, with the global population becoming predominantly urban; hence, increases or reductions of GHG emissions are tied to their energy strategies. This research examines the likelihood of a developed world city (the Greater Toronto Area) achieving an 80% reduction in GHG emissions through policy-enabled technological change. Emissions are examined from 3 major sources: light duty passenger vehicles, residential buildings and commercial/institutional buildings. Logistic diffusion curves are applied for the adoption of alternative vehicle technologies, building retrofits and high performance new building construction. This research devises high, low and business-as-usual estimates of future technological adoption and finds that even aggressive scenarios are not sufficient to achieve an 80% reduction in GHG emissions by 2050. This further highlights the challenges faced in maintaining a relatively stable climate. Urban policy makers must consider that the longer the lag before this transition occurs, the greater the share of GHG emissions mitigation that must addressed through behavioural change in order to meet the 2050 target, which likely poses greater political challenges. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000332135900062,2050,GHG emissions,
18,"We employ a single-country dynamically-recursive Computable General Equilibrium model to make health-focussed macroeconomic assessments of three contingent UK Greenhouse Gas (GHG) mitigation strategies, designed to achieve 2030 emission targets as suggested by the UK Committee on Climate Change. In contrast to previous assessment studies, our main focus is on health co-benefits additional to those from reduced local air pollution. We employ a conservative cost-effectiveness methodology with a zero net cost threshold. Our urban transport strategy (with cleaner vehicles and increased active travel) brings important health co-benefits and is likely to be strongly cost-effective; our food and agriculture strategy (based on abatement technologies and reduction in livestock production) brings worthwhile health co-benefits, but is unlikely to eliminate net costs unless new technological measures are included; our household energy efficiency strategy is likely to breakeven only over the long term after the investment programme has ceased (beyond our 20 year time horizon). We conclude that UK policy makers will, most likely, have to adopt elements which involve initial net societal costs in order to achieve future emission targets and longer-term benefits from GHG reduction. Cost-effectiveness of GHG strategies is likely to require technological mitigation interventions and/or demand-constraining interventions with important health co-benefits and other efficiency-enhancing policies that promote internalization of externalities. Health co-benefits can play a crucial role in bringing down net costs, but our results also suggest the need for adopting holistic assessment methodologies which give proper consideration to welfare-improving health co-benefits with potentially negative economic repercussions (such as increased longevity).",WOS:000326944000010,2030,GHG emissions,
19,"Identifying strategies for reconciling human development and climate change mitigation requires an adequate understanding of how infrastructures contribute to well-being and greenhouse gas emissions. While direct emissions from infrastructure use are well-known, information about indirect emissions from their construction is highly fragmented. Here, we estimated the carbon footprint of the existing global infrastructure stock in 2008, assuming current technologies, to be 122 (-20/+15) Gt CO2. The average per-capita carbon footprint of infrastructures in industrialized countries (53 (+/- 6) t CO2) was approximately 5 times larger that that of developing countries (10 (+/- 1) t CO2). A globalization of Western infrastructure stocks using current technologies would cause approximately 350 Gt CO2 from materials production, which corresponds to about 35-60% of the remaining carbon budget available until 2050 if the average temperature increase is to be limited to 2 degrees C, and could thus compromise the 2 degrees C target. A promising but poorly explored mitigation option is to build new settlements using less emissions-intensive materials, for example by urban design; however, this strategy is constrained by a lack of bottom-up data on material stocks in infrastructures. Infrastructure development must be considered in post-Kyoto climate change agreements if developing countries are to participate on a fair basis.",WOS:000326123600048,2050,GHG emissions,
20,"As transportation problems deteriorate and resources become limited, transportation professionals have realized that they cannot always rely on supplying more infrastructure to meet travel demands, Instead, they have looked to transportation demand management (TDM) as a means of influencing the demand for transportation, TDM is currently being planned for implementation in the Greater Vancouver region, Under an umbrella of extensive planning strategies, TDM is considered to play a significant role in the region's future state of transportation, Four main components are being planned under the Greater Vancouver Regional TDM Project: trip reduction service, parking management, conversion of fixed automobile costs to variable, and road pricing, Currently, 70% of the provincial transportation energy needs is due to road transportation, of which one-third is due to commuters. Compared to trend forecasts for the year 2021, it is estimated that these TDM measures could produce savings of approximately 56,000 1 of automobile fuel in the morning peak hour, 343,000 1 on a typical weekday, and 113,000,000 1 annually, This paper will discuss the current and future states of transportation in the region, the planning process leading up to the TDM project, and the estimated implications of TDM on transportation energy needs. (C) 1997 Elsevier Science Ltd. All rights reserved.",WOS:000071371000011,2021,Public transport,
21,"Between 1971 and 1992, growth in carbon dioxide (CO2) emissions from buildings varied widely by region, ranging from 0.9% per year in the industrialized countries to 0.7% per year in Eastern Europe and the former Soviet Union and 5.9% per year in developing countries, This paper outlines energy efficiency improvements for buildings and the overall technical potential to reduce CO2 emissions by cutting growth in energy consumption in buildings, Three scenarios of future buildings CO2 emissions in 2020 were developed, Under the business as usual scenario, buildings emissions increase 90% over 1990 levels. A scenario that involves adopting more efficient energy using practices and technologies is estimated to produce CO2 emissions 50% above 1990 levels, A scenario with powerful incentives for energy efficiency could lead to CO2 emissions 28% above 1990 levels, Much of the CO2 growth is the result of population growth and growth in energy services, especially in developing countries, Policy instruments to reduce energy use and related CO2 emissions include real increases in energy prices, aggressive use of energy efficiency policies, major programs to transfer knowledge, technology, and tools for transforming markets to the developing world and continued efforts to pursue research and development in technologies and practices to increase energy efficiency in buildings. Copyright (C) Elsevier Science Ltd.",WOS:A1996VX50200008,2020,GHG emissions,
22,"Transport is by far the most important sector for NOx emissions in the Netherlands, accounting for a share of about 60% in 2020, while the share of N2O emissions from transport is much lower: about 10% to 15%. This paper documents transport forecasts (volumes, energy use, emissions) for three macro-economic and two policy scenarios (conventional solutions, liveable cities) for the 1995-2020 period. Both national and local policies for transport volumes and (NOx) emissions, along with their effects, are described. National policies include (EU) regulations for vehicles and fuels, pricing policy, public transport policies and national guidelines for policies on parking and land use. The most important local policies are those for parking, land use, cycling and restrictions for motorised vehicles.",WOS:000077893200092,2020,Public transport,
